gt_category,n,mean_iou,median_iou,iou_ge_050,iou_lt_010
box,20,0.6710842877758327,0.8424131801521582,0.8,0.2
cable,14,0.4199983582464191,0.38155435914260305,0.2857142857142857,0.07142857142857142
connector,34,0.7271844803875593,0.8487586696168024,0.8529411764705882,0.11764705882352941
glass_object,24,0.661818386012035,0.7486625423158928,0.8333333333333334,0.08333333333333333
metal_part,35,0.8170350768116844,0.8666880822357854,0.9428571428571428,0.02857142857142857
plastic_object,41,0.8146843678408393,0.8907913003239241,0.926829268292683,0.024390243902439025
robot_gripper,59,0.5845578699407609,0.6715039577836411,0.711864406779661,0.11864406779661017
screw,29,0.6042551725638787,0.7142857142857143,0.7586206896551724,0.13793103448275862
tool,19,0.5869973484820811,0.6118389131489568,0.6842105263157895,0.10526315789473684
