prompt,objects,mean_iou,median_iou,mean_boundary_f1,iou_ge_0.90,iou_ge_0.75,iou_ge_0.50,iou_lt_0.10
box,4471,0.9056914065275052,0.9553291536050156,0.9356110488604319,0.7512860657571013,0.9136658465667636,0.9702527398792217,0.0031312905390293
point,4471,0.7984509189646681,0.912492634060106,0.81312928874381,0.5278461194363677,0.7271303958845896,0.8662491612614628,0.02035338850369045
auto,4471,0.8024888044874324,0.942232630757221,0.8381383853848194,0.6045627376425855,0.7486021024379333,0.8678148065309774,0.055244911652874075
