,,iou,iou,iou,iou,iou,iou,boundary_f1,boundary_f1,sam_score,sam_score,latency_sec,latency_sec,fps,fps
,,count,mean,median,min,max,std,mean,median,mean,median,mean,median,mean,median
prompt,category_name,,,,,,,,,,,,,,
auto,box,34,0.8877445304288468,0.9670912403445173,0.0083159138416795,0.9928051001821494,0.21339828814108538,0.8964255477722783,0.9852177451795991,0.9694083210299996,0.9766306579113007,,,,
auto,cable,35,0.587152138085959,0.6820512820512821,0.0,0.9618657421998108,0.3292120707736789,0.6879803969924494,0.799043062200957,0.9439418384007046,0.947242021560669,,,,
auto,connector,63,0.7907243827116492,0.9410071942446044,0.0,0.9868114817688132,0.3256439913950978,0.8532381378833827,1.0,0.9589065474177164,0.9658486843109132,,,,
auto,glass_object,25,0.5415978326952727,0.7027985432240751,0.0,0.984600262123198,0.38162593660257177,0.5590513272292713,0.61454515373651,0.9420285534858703,0.9340606927871704,,,,
auto,metal_part,31,0.8139578873434288,0.9503432859651924,0.0007481296758104,0.9790194346289752,0.32234152847106023,0.8554902590917567,0.9860525462212132,0.967020490477162,0.9683982133865356,,,,
auto,plastic_object,67,0.9111084770692282,0.9755600814663952,0.0,0.9894025698768047,0.21079307923255602,0.9306690448610622,1.0,0.983393307942063,0.9887958765029908,,,,
auto,robot_gripper,36,0.6922010243978259,0.8630745852855515,0.0021985857745558,0.9819887798956728,0.3355104249492783,0.7391631849331124,0.831756709810698,0.9588512347804176,0.9596913754940032,,,,
auto,screw,47,0.5986434875897066,0.8784119106699751,0.0,0.981060606060606,0.40318760754715083,0.7209049173013355,1.0,0.9529606230715488,0.9503111839294434,,,,
auto,tool,22,0.7979908957985437,0.9189777592993559,0.0385723431498079,0.9696969696969696,0.2615435391457307,0.8518554600734999,0.9195502318081477,0.9614979976957495,0.9724845886230469,,,,
box,box,34,0.9568961912997123,0.9700868788398045,0.6192458940550544,0.9927461956950248,0.062483258581608386,0.9446044475636078,0.9818576833175372,0.9736369725535897,0.9755582511425018,0.017750612264682525,0.012044348500012299,78.1230516615372,83.0265475665835
box,cable,35,0.7466761348446009,0.818686401480111,0.2182030338389731,0.9782439782439782,0.22656109105407457,0.8530031099663299,0.9338842975206612,0.8841931257929121,0.938886284828186,0.012059064828593194,0.0120272849999309,82.93149794273823,83.14428401802544
box,connector,63,0.9120247771601895,0.95010395010395,0.1873111782477341,0.989522700814901,0.11773167048021015,0.9782591009609204,1.0,0.954893119751461,0.9685195684432985,0.021334213015882283,0.0120736600001691,77.70604935589111,82.82492632606744
box,glass_object,25,0.7949529378487601,0.8822062350119904,0.01931330472103,0.9823946466980004,0.2376346758990455,0.7833055614835354,0.8146775832187892,0.9396433115005494,0.964682161808014,0.017891987919974733,0.0120208849998562,79.97382784613247,83.18855059439983
box,metal_part,31,0.9381586632311836,0.953428964433091,0.8089053803339518,0.9770318021201412,0.0431873094044962,0.9738975495806115,1.0,0.9631312624100716,0.9742443561553956,0.021406396258073262,0.0120095859997491,77.9418443196466,83.26681702607327
box,plastic_object,67,0.9560550170563282,0.9747057350363136,0.6551724137931034,0.9889891217829664,0.0570011007182541,0.987127658297724,1.0,0.972517388080483,0.9804717898368835,0.024996787791013598,0.012029013999836,76.02234869695049,83.13233320816084
box,robot_gripper,36,0.8432210202540704,0.8947402474976003,0.091533180778032,0.9772935779816514,0.19325452317075031,0.8707611851786812,0.9154335443989954,0.9348782499631246,0.9668689966201782,0.012066197388915244,0.012030885500053,82.88611954529186,83.11940186374183
box,screw,47,0.8686622604161354,0.9129213483146068,0.4319066147859922,0.9846743295019156,0.12438971479790134,0.987119722368194,1.0,0.9401617861808614,0.9542967677116394,0.01826125091490226,0.012052844000209,79.32914475112598,82.96797004778782
box,tool,22,0.8883715645217133,0.9227690595991926,0.6429906542056075,0.9676565715965892,0.09446666555582679,0.9071557944693105,0.9548869232655184,0.9421628767793829,0.9662706255912781,0.01852832149998817,0.0120392454998636,79.4246406928993,83.06170672104699
point,box,34,0.8842245626262173,0.9634080042485109,0.1663403719759474,0.990268815349046,0.18738217486947753,0.8706198746141325,0.9469501182410024,0.9223068356513977,0.9287910461425781,0.020501319764715642,0.0126837865002471,74.14617182498061,78.84112683402887
point,cable,35,0.6301276732922934,0.7406962785114045,0.1438645980253878,0.9685314685314684,0.2560679004846638,0.7321257484053337,0.7877591312931884,0.8629212873322624,0.880752682685852,0.01270762337143029,0.0126175200002762,78.72776996924628,79.25487734341647
point,connector,63,0.8440708869187535,0.9244444444444444,0.0224475018102824,0.9895308259015122,0.19419999996776968,0.8986802296891409,0.9894736842105264,0.8836215034363761,0.8901200890541077,0.021919123444423833,0.0126950280000528,74.03296035520181,78.77099601480496
point,glass_object,25,0.551955348832684,0.4980257962621742,0.0090997892139221,0.9660611854684512,0.3003631473975962,0.493644750262051,0.4459360863855245,0.8056616497039795,0.8132785558700562,0.018537056160039308,0.0127346290000787,75.43116069456141,78.52604108009892
point,metal_part,31,0.8833069885765208,0.935483870967742,0.448559670781893,0.9773472429210134,0.1342411893995147,0.915899662943875,0.944709772226304,0.8941317854389068,0.9290092587471008,0.021984269354884227,0.0126669320002292,74.3694678390891,78.94571471465224
point,plastic_object,67,0.8975579826799747,0.9702052091554854,0.0075946052114704,0.989344909234412,0.16795086895453118,0.910976878642612,1.0,0.8920828895782357,0.9196584224700928,0.02568486522392018,0.0126596220002284,72.23000489482986,78.99130005476921
point,robot_gripper,36,0.7422404784800146,0.8564969807571456,0.0667346298619824,0.9796313303594856,0.2795449473533503,0.7248946735772068,0.7817650528132547,0.886416483256552,0.9200527966022491,0.012780359305490142,0.01267464300008205,78.29174180949546,78.89768825699213
point,screw,47,0.7667961649106155,0.8705035971223022,0.0261538461538461,0.9808429118773946,0.23506181884277774,0.8836685324086634,1.0,0.871236227928324,0.8979169130325317,0.01887533357447608,0.0126490679999733,75.91503831388725,79.05720800948399
point,tool,22,0.8356826881167585,0.8977691491618927,0.3655141445891333,0.9640366972477064,0.15862292896491537,0.8475367490953388,0.8564615548116266,0.9013409614562988,0.905422180891037,0.019304436227312958,0.0125917610000669,75.36766421965446,79.41701463038173
