prompt,objects,mean_iou,median_iou,mean_boundary_f1,iou_ge_0.90,iou_ge_0.75,iou_ge_0.50,iou_lt_0.10
box,764,0.9052162389844104,0.9576205834626961,0.9330629796603708,0.7473821989528796,0.912303664921466,0.9607329842931938,0.003926701570680628
point,764,0.8021366054573342,0.9143919849144576,0.8124403001653822,0.5301047120418848,0.7303664921465969,0.8651832460732984,0.024869109947643978
auto,764,0.7925360621365339,0.9415516633679473,0.8267298915481607,0.6007853403141361,0.7356020942408377,0.8547120418848168,0.06282722513089005
