,iou,iou,iou,iou,iou,iou,boundary_f1,boundary_f1,sam_score,sam_score,latency_sec,latency_sec,fps,fps
,count,mean,median,min,max,std,mean,median,mean,median,mean,median,mean,median
prompt,,,,,,,,,,,,,,
auto,360,0.7527151771380433,0.9289450302483896,0.0,0.9928051001821494,0.33394764988751424,0.8066564397674598,0.9880869323457361,0.9619039169616169,0.9663539230823517,,,,
box,360,0.888514949228293,0.9421510674278428,0.01931330472103,0.9927461956950248,0.1507327633153408,0.9367012686183875,1.0,0.9480175115995937,0.9685550034046174,0.01904336456110888,0.01203947850012805,78.9528325801236,83.06007608175452
point,360,0.7993262524758301,0.9154024635038522,0.0075946052114704,0.990268815349046,0.2364037049201799,0.833017300917871,0.9541245791245789,0.8820739156670041,0.9057112336158752,0.01989020111389735,0.0126664870001604,75.04377572335281,78.94848833947353
