dataset,model,model_group,prompt_mode,status,evaluation_type,mIoU,boundary_f1,mask_AP,mask_AP50,mask_AP75,quality_metrics_file
ocid,efficient_sam_ti,lightweight_sam,point,ok,zero_shot,0.5383066375012849,0.4950349447450912,0.3154535030120085,0.5030385897068388,0.37149683475265455,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/point_metrics.json
ocid,efficient_sam_ti,lightweight_sam,box,ok,zero_shot,0.8278674773401372,0.7368875912811185,0.685614562622116,0.9390337766099862,0.8387993319207921,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/box_metrics.json
ocid,efficient_sam_ti,lightweight_sam,automatic,ok,zero_shot,0.10272048335745534,0.03350827976169552,0.0008999945410103019,0.0035862471693710253,0.00021936771512211172,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/automatic_metrics.json
ocid,efficient_sam_s,lightweight_sam,point,ok,zero_shot,0.6396902716624208,0.5936247679781099,0.38424408484862593,0.6021779085664937,0.4530775296826351,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/point_metrics.json
ocid,efficient_sam_s,lightweight_sam,box,ok,zero_shot,0.8544621942786068,0.7761996754168248,0.7235365371020155,0.9594536086408882,0.8882131955888947,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/box_metrics.json
ocid,efficient_sam_s,lightweight_sam,automatic,ok,zero_shot,0.14058032043489793,0.03529564593685713,0.002688568562168464,0.008601102062333837,0.0010664384914616755,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/automatic_metrics.json
isaac_official_unitree_g1,sam_vit_h,heavy_sam,point,ok,zero_shot,0.5738850866510774,0.6569892724541052,0.533635982248893,0.6632744126338047,0.5455311787732522,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_h/point_metrics.json
isaac_official_unitree_g1,sam_vit_h,heavy_sam,box,ok,zero_shot,0.7520193025677744,0.8744340552417512,0.6778063539430256,0.8518658203628238,0.6967960116031591,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_h/box_metrics.json
isaac_official_unitree_g1,sam_vit_h,heavy_sam,automatic,ok,zero_shot,0.48622915281592644,0.5398744324018623,0.2764753068593684,0.33035307048518747,0.28328134013844886,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_h/automatic_metrics.json
isaac_official_unitree_g1,sam_vit_b,heavy_sam,point,ok,zero_shot,0.602380797003478,0.6835315690456025,0.546541253183804,0.7026216774834111,0.5653040684208747,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_b/point_metrics.json
isaac_official_unitree_g1,sam_vit_b,heavy_sam,box,ok,zero_shot,0.7420632008595545,0.86246704808171,0.6478484391050595,0.8415484142363654,0.6581961620245849,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_b/box_metrics.json
isaac_official_unitree_g1,sam_vit_b,heavy_sam,automatic,ok,zero_shot,0.38878916651290735,0.426293601706924,0.23180374016092023,0.2806991008101907,0.2376327542241688,outputs/task6_evaluation/zero_shot/isaac_official_unitree_g1/sam_vit_b/automatic_metrics.json
