model,prompt_type,split,image_path,instance_id,category,challenge,iou,boundary_f1,predicted_iou,elapsed_s,fps,device,num_generated_masks
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,3,metal_part,reflective_metal,0.9774292272379494,0.9945155393053016,0.92873615026474,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,4,tool,reflective_metal,0.9252571908461054,0.8970666360360102,0.9174149036407471,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,5,box,reflective_metal,0.9741473792792212,1.0,0.941002368927002,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,6,metal_part,reflective_metal,0.977029702970297,1.0,0.9808563590049744,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,7,metal_part,reflective_metal,0.9875324675324675,1.0,0.9673936367034912,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,8,screw,reflective_metal;small_parts,0.0008960573476702509,0.15184381778741868,0.9673936367034912,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000000.png,9,metal_part,reflective_metal,0.9791274915381722,1.0,0.9491795897483826,0.5757418088573364,1.736889669320143,cuda,12
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,11,connector,transparent_glass;partial_occlusion;small_parts,0.9155342392752465,0.7723376638563093,0.9551710486412048,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,12,glass_object,transparent_glass;partial_occlusion,0.013043478260869565,0.10093363613424174,0.9551710486412048,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,13,glass_object,transparent_glass;partial_occlusion,0.9912469033856317,1.0,0.9746948480606079,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,14,cable,transparent_glass;partial_occlusion,0.9334894613583138,0.9557469972007475,0.9559313058853149,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,15,robot_gripper,transparent_glass;partial_occlusion,0.6707204358612638,0.5432229589658383,0.8997126817703247,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,16,robot_gripper,transparent_glass;partial_occlusion,0.28182650161360245,0.47936050777354133,0.8997126817703247,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000001.png,17,robot_gripper,transparent_glass;partial_occlusion,0.039959016393442626,0.250650908346254,0.8997126817703247,0.5554363028578726,1.8003864616963725,cuda,9
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,20,glass_object,partial_occlusion;transparent_glass,0.9750746268656716,0.9774236387782205,0.9293109178543091,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,21,box,partial_occlusion,0.9865340609047702,1.0,0.9821197390556335,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,22,screw,partial_occlusion;small_parts,0.0,0.0,0.9911098480224609,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,23,metal_part,partial_occlusion;reflective_metal,0.9881141045958796,1.0,0.9911098480224609,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,24,box,partial_occlusion,0.9876783398184177,1.0,0.983489990234375,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,25,metal_part,partial_occlusion;reflective_metal,0.9607272727272728,0.9831986438158933,0.9602366089820862,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,26,robot_gripper,partial_occlusion,0.7669547696060236,0.6755121223461442,0.9468221068382263,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,27,robot_gripper,partial_occlusion,0.7117088607594937,0.8174634326976485,0.9396858215332031,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000002.png,28,robot_gripper,partial_occlusion,0.0665533542253147,0.2669895272110903,0.9468221068382263,0.4132384944443604,2.419910084476999,cuda,15
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,31,box,small_parts,0.975217812197483,0.9100277233534884,0.9720744490623474,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,32,cable,small_parts,0.968,1.0,0.971785843372345,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,33,metal_part,small_parts;reflective_metal,0.9078549848942599,0.8739837398373984,0.9277425408363342,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,34,screw,small_parts,0.0,0.02638377397900291,0.9747864007949829,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,35,connector,small_parts,0.9714942528735632,1.0,0.9241114854812622,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,36,screw,small_parts,0.0,0.028934251127462614,0.9747864007949829,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,37,plastic_object,small_parts,0.9770642201834863,1.0,0.9707086682319641,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,38,tool,small_parts;reflective_metal,0.968944099378882,0.9956896551724138,0.959364116191864,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,39,metal_part,small_parts;reflective_metal,0.7032418952618454,0.5600899742930592,0.9281978011131287,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,40,plastic_object,small_parts,0.8022366097704532,0.6398885535175296,0.9266616106033325,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000003.png,41,plastic_object,small_parts,0.24071322436849926,0.5940594059405941,0.8252842426300049,0.33787351254564285,2.9596874654828453,cuda,14
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000004.png,44,glass_object,dynamic_scene;transparent_glass;partial_occlusion,0.15906056427430124,0.11267523193538001,0.8791245222091675,0.44605140824933187,2.2418940541513197,cuda,20
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000004.png,45,plastic_object,dynamic_scene;partial_occlusion,0.9839009966049721,1.0,0.981245756149292,0.44605140824933187,2.2418940541513197,cuda,20
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000004.png,46,plastic_object,dynamic_scene;partial_occlusion,0.9948746363762294,1.0,0.9927797913551331,0.44605140824933187,2.2418940541513197,cuda,20
SAM2.1-Tiny,auto,train,data/cogar_sim_500_final/rgb/000004.png,47,plastic_object,dynamic_scene;partial_occlusion,0.9827411167512691,1.0,0.9803158640861511,0.44605140824933187,2.2418940541513197,cuda,20
