challenge,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
small_parts,1551,0.5863996611095034,0.8308414924583223,0.6352167862105748,0.5544809800128949,0.3010960670535139
partial_occlusion,3187,0.6276813247589234,0.8307639602603631,0.6653798637619772,0.5660495764041418,0.22529024160652653
transparent_glass,830,0.6296589376226687,0.8482856758605515,0.6512697013351202,0.563855421686747,0.2036144578313253
dynamic_scene,797,0.6814828734748869,0.9090355520164879,0.7216836033500635,0.6336260978670013,0.191969887076537
reflective_metal,1161,0.712922360609935,0.9322465613856342,0.7469998486081675,0.6632213608957795,0.16881998277347116
