category_name,count,min,median,mean,max,tiny,small,medium,large
screw,15,60.0,230.0,249.33333333333334,422.0,2,13,0,0
connector,33,83.0,1648.0,1640.2424242424242,6267.0,1,9,23,0
cable,28,65.0,2155.5,2144.964285714286,6460.0,1,6,21,0
metal_part,28,61.0,2399.5,3258.6785714285716,13253.0,1,7,19,1
robot_gripper,31,469.0,2811.0,7298.5161290322585,32648.0,0,3,18,10
plastic_object,61,57.0,2945.0,3144.311475409836,11124.0,2,7,51,1
tool,22,1106.0,4072.5,5059.318181818182,12509.0,0,0,20,2
glass_object,25,235.0,7146.0,7787.16,25725.0,0,2,15,8
box,28,768.0,11576.0,11909.642857142857,28959.0,0,1,11,16
