object_id,count,mean_iou,median_iou,min_iou,max_iou,std_iou,mean_sam_score
312,1,0.0075946052114704,0.0075946052114704,0.0075946052114704,0.0075946052114704,,0.5864686965942383
355,1,0.0090997892139221,0.0090997892139221,0.0090997892139221,0.0090997892139221,,0.7177408933639526
383,1,0.0182959401709401,0.0182959401709401,0.0182959401709401,0.0182959401709401,,0.8611925840377808
262,1,0.0224475018102824,0.0224475018102824,0.0224475018102824,0.0224475018102824,,0.5985026955604553
46,1,0.0261538461538461,0.0261538461538461,0.0261538461538461,0.0261538461538461,,0.9187963604927064
413,1,0.0667346298619824,0.0667346298619824,0.0667346298619824,0.0667346298619824,,0.730713427066803
213,1,0.0881210174584261,0.0881210174584261,0.0881210174584261,0.0881210174584261,,0.864817202091217
319,1,0.1016920616213486,0.1016920616213486,0.1016920616213486,0.1016920616213486,,0.7591291069984436
69,1,0.1049822064056939,0.1049822064056939,0.1049822064056939,0.1049822064056939,,0.7612627744674683
359,1,0.1221105527638191,0.1221105527638191,0.1221105527638191,0.1221105527638191,,0.928577184677124
31,1,0.1438645980253878,0.1438645980253878,0.1438645980253878,0.1438645980253878,,0.8901195526123047
406,1,0.1663403719759474,0.1663403719759474,0.1663403719759474,0.1663403719759474,,0.7681784629821777
74,1,0.1723666210670314,0.1723666210670314,0.1723666210670314,0.1723666210670314,,0.9258764386177064
388,1,0.1923340177960301,0.1923340177960301,0.1923340177960301,0.1923340177960301,,0.703147292137146
390,1,0.2029962546816479,0.2029962546816479,0.2029962546816479,0.2029962546816479,,0.6767799258232117
356,1,0.2163487444767755,0.2163487444767755,0.2163487444767755,0.2163487444767755,,0.7481579780578613
66,1,0.2528473804100228,0.2528473804100228,0.2528473804100228,0.2528473804100228,,0.72933030128479
232,1,0.2809395695364238,0.2809395695364238,0.2809395695364238,0.2809395695364238,,0.7336669564247131
162,1,0.2969529085872576,0.2969529085872576,0.2969529085872576,0.2969529085872576,,0.7165349125862122
412,1,0.3068693693693693,0.3068693693693693,0.3068693693693693,0.3068693693693693,,0.8575474619865417
243,1,0.3132743362831858,0.3132743362831858,0.3132743362831858,0.3132743362831858,,0.8633553385734558
30,1,0.3177900892582333,0.3177900892582333,0.3177900892582333,0.3177900892582333,,0.8132785558700562
352,1,0.3197667638483965,0.3197667638483965,0.3197667638483965,0.3197667638483965,,0.910006821155548
