method,objects,mean_iou,median_iou,mean_sam_score,min_iou,max_iou
SAM ViT-B box prompt,7274,0.8913587139135872,0.9426592753784329,0.9523189252087269,0.0,0.9970249644289224
SAM ViT-B point prompt,7274,0.8039926726752314,0.9126252727799964,0.8783572905414997,0.0,0.9967637540453076
