primary_challenge,count,box_mean_iou,box_median_iou,point_mean_iou,point_median_iou,mean_iou_drop_point_minus_box
transparent_glass,1163,0.86297101001913,0.934848266935136,0.7464227072352531,0.859542530378842,-0.11654830278387696
partial_occlusion,1368,0.8836896255334376,0.9416103981880091,0.7722741191660615,0.8961995181230649,-0.11141550636737607
reflective_metal,1271,0.8967794829810725,0.9497991967871486,0.8115613661515104,0.9272030651340996,-0.08521811682956204
dynamic_scene,1286,0.906452891562164,0.9567977097373492,0.8229946489781397,0.9383349892128376,-0.08345824258402434
small_parts,2186,0.8992293921352045,0.9344485642562566,0.8388913460848146,0.913621637541724,-0.06033804605038984
