category_name,count,box_mean_iou,box_median_iou,point_mean_iou,point_median_iou,mean_iou_drop_point_minus_box
glass_object,771,0.8383386740796158,0.9097674418604652,0.6507715409417351,0.6982865656816488,-0.18756713313788076
robot_gripper,769,0.8449027642118437,0.9116719242902208,0.7115524604302802,0.8233805668016194,-0.13335030378156354
tool,547,0.8383575837173393,0.9170305676855895,0.7074816773680307,0.8199191473722895,-0.13087590634930857
cable,571,0.8173903602936339,0.8844204123014532,0.7134453870877258,0.7898886827458256,-0.10394497320590812
metal_part,737,0.9264552085004757,0.9600862998921252,0.8562053450649152,0.9464692482915718,-0.0702498634355605
box,652,0.9326827562808906,0.9771252671723281,0.8724839737251218,0.9700249271196739,-0.060198782555768826
plastic_object,1003,0.948918047812669,0.9725797425853384,0.8892945123406971,0.9662396873643074,-0.059623535471971856
connector,981,0.925265125029058,0.9550561797752808,0.8768112887069761,0.946031746031746,-0.04845383632208189
screw,1243,0.8945984812731204,0.9152542372881356,0.8471014055304757,0.8984771573604061,-0.04749707574264461
