primary_challenge,objects,mean_iou,median_iou,mean_sam_score
transparent_glass,1163,0.86297101001913,0.934848266935136,0.9491090502138294
partial_occlusion,1368,0.8836896255334376,0.9416103981880091,0.9481765428743167
reflective_metal,1271,0.8967794829810725,0.9497991967871486,0.9543782635339126
small_parts,2186,0.8992293921352045,0.9344485642562566,0.9526936587454088
dynamic_scene,1286,0.906452891562164,0.9567977097373492,0.9569559991823199
