category_name,objects,mean_iou,median_iou,mean_sam_score
cable,571,0.8173903602936339,0.8844204123014532,0.9150424000469481
glass_object,771,0.8383386740796158,0.9097674418604652,0.9459633613838759
tool,547,0.8383575837173393,0.9170305676855895,0.9354421435370088
robot_gripper,769,0.8449027642118437,0.9116719242902208,0.9383117452709511
screw,1243,0.8945984812731204,0.9152542372881356,0.9490026284491738
connector,981,0.925265125029058,0.9550561797752808,0.9609976263828841
metal_part,737,0.9264552085004757,0.9600862998921252,0.9662715007362728
box,652,0.9326827562808906,0.9771252671723281,0.9704503453125252
plastic_object,1003,0.948918047812669,0.9725797425853384,0.9719518000558984
