category,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
robot_gripper,6,0.7813008471190676,0.8501884732976651,0.747236575342642,0.6666666666666666,0.0
screw,2,0.9349978452324386,0.9349978452324386,1.0,1.0,0.0
tool,1,0.940180102915952,0.940180102915952,0.9484669311525982,1.0,0.0
cable,2,0.9574795278920456,0.9574795278920456,0.9869593057159518,1.0,0.0
connector,1,0.9704807421984819,0.9704807421984819,1.0,1.0,0.0
glass_object,3,0.9775933447808507,0.979530853130136,0.9835913385601905,1.0,0.0
metal_part,6,0.9808363724714516,0.9828457093484362,0.996376198533559,1.0,0.0
box,4,0.9822719090330214,0.9828467996432912,0.9785806272156763,1.0,0.0
