category,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
cable,2,0.4260241986839312,0.4260241986839312,0.3991961399368807,0.5,0.5
robot_gripper,6,0.5580810816236081,0.5502150922563513,0.5910049212332336,0.3333333333333333,0.0
glass_object,3,0.6651394930791646,0.9327446651949963,0.628180509645504,0.6666666666666666,0.0
tool,1,0.7994914638576098,0.7994914638576098,0.5409535452322738,1.0,0.0
screw,2,0.8647347904003547,0.8647347904003547,0.9770114942528736,1.0,0.0
connector,1,0.8926553672316384,0.8926553672316384,0.806619432195412,1.0,0.0
metal_part,6,0.9641228292658205,0.9688399377266393,0.9926707963357178,1.0,0.0
box,4,0.964353502418648,0.95998787147667,0.9058584084196801,1.0,0.0
