category,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
cable,281,0.6211852276675035,0.6665535956580733,0.6948139010489098,0.35231316725978645,0.060498220640569395
robot_gripper,1042,0.6636349971247365,0.7687010396518374,0.6763558137667639,0.5297504798464492,0.0854126679462572
screw,427,0.707864008888216,0.7971698113207547,0.8459636476595649,0.6697892271662763,0.0936768149882904
glass_object,360,0.7648089741117946,0.9025844404719447,0.7329597885257015,0.6861111111111111,0.03611111111111111
tool,296,0.7735293283416648,0.8470272466291098,0.7815156942979355,0.6418918918918919,0.016891891891891893
connector,531,0.8425065118830266,0.9152202937249666,0.9040208583481358,0.8926553672316384,0.04143126177024482
box,352,0.8659359854805362,0.9572423902085054,0.8457157536690083,0.8579545454545454,0.028409090909090908
metal_part,555,0.8862392244230431,0.9523809523809523,0.9110962016233309,0.9081081081081082,0.02702702702702703
plastic_object,627,0.8912084915808055,0.9541516245487365,0.9226850884755448,0.9027113237639554,0.025518341307814992
