challenge,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
transparent_glass,830,0.7581942849192714,0.8961373965203288,0.7573633399569514,0.6819277108433734,0.051807228915662654
partial_occlusion,3187,0.7605571443389477,0.8786279683377308,0.790070924033268,0.6918732350172576,0.05647944775651083
small_parts,1551,0.7753930931215418,0.8740740740740741,0.8446653567590175,0.7491940683430045,0.05867182462927144
dynamic_scene,797,0.7894576857000372,0.9223366159355416,0.8164439727172637,0.740276035131744,0.053952321204516936
reflective_metal,1161,0.8254082657057059,0.9263485477178424,0.8440429887951142,0.7829457364341085,0.03186907838070629
