challenge,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
transparent_glass,8,0.6703391316006613,0.748619203604038,0.6771529492049277,0.5,0.0
partial_occlusion,16,0.7806478269811097,0.8774341554321031,0.7844730961638253,0.6875,0.0
small_parts,5,0.9006664876996334,0.8926553672316384,0.9181728655153449,1.0,0.0
reflective_metal,9,0.9345062619641179,0.9590712810563865,0.9319124204511726,1.0,0.0
