category_name,count,min,median,mean,max,tiny,small,medium,large
screw,80,33.0,289.5,285.7875,696.0,10,70,0,0
connector,84,51.0,1620.0,1823.5357142857142,5848.0,1,22,61,0
cable,60,50.0,2260.5,2570.4166666666665,8275.0,3,6,51,0
metal_part,90,25.0,3207.0,4273.677777777778,29208.0,1,9,75,5
plastic_object,91,657.0,3441.0,4441.197802197802,17139.0,0,1,86,4
robot_gripper,180,43.0,3721.0,7179.516666666666,32470.0,2,18,107,53
tool,60,921.0,4553.5,4997.483333333334,18757.0,0,1,55,4
glass_object,52,546.0,8245.0,10317.442307692309,45670.0,0,1,29,22
box,68,1181.0,11693.0,12818.882352941177,39582.0,0,0,24,44
