category_name,count,min,median,mean,max,tiny,small,medium,large
screw,432,25.0,268.5,286.08564814814815,1434.0,39,392,1,0
connector,536,26.0,1616.5,1760.6585820895523,7695.0,11,119,406,0
cable,290,50.0,2290.5,2606.6827586206896,8619.0,6,34,250,0
robot_gripper,1048,32.0,3291.0,6622.897900763359,36380.0,8,102,661,277
metal_part,565,25.0,3307.0,3969.3858407079647,29208.0,5,52,484,24
plastic_object,631,27.0,3476.0,4085.846275752773,19422.0,7,59,542,23
tool,301,33.0,5121.0,5654.923588039867,21788.0,1,9,260,31
glass_object,366,115.0,8642.0,9522.281420765028,45670.0,0,6,217,143
box,363,281.0,11716.0,13175.829201101928,53746.0,0,7,129,227
