challenge_primary,box,cable,connector,glass_object,metal_part,plastic_object,robot_gripper,screw,tool
dynamic_scene,48,67,59,35,55,267,234,14,25
partial_occlusion,120,72,71,55,91,135,297,49,52
reflective_metal,62,18,30,0,271,51,132,20,169
small_parts,65,92,335,0,107,103,195,349,36
transparent_glass,68,41,41,276,41,75,190,0,19
