category,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
cable,281,0.8483835471517238,0.8957604045118631,0.905199480237756,0.8291814946619217,0.0071174377224199285
robot_gripper,1042,0.8594800270395827,0.9128730363961847,0.8488185887194801,0.8493282149712092,0.0009596928982725527
tool,296,0.8803018175950706,0.9357660447794669,0.8892616516379296,0.8783783783783784,0.0033783783783783786
screw,427,0.8973252690328166,0.919831223628692,0.9889265174808576,0.9461358313817331,0.0
glass_object,360,0.9344096120097769,0.9662641298889167,0.895568368163672,0.9527777777777777,0.0
connector,531,0.9385212022084932,0.959478021978022,0.9851014611828126,0.9717514124293786,0.0
metal_part,555,0.952623853029509,0.9727703235990529,0.9744763769746806,0.9783783783783784,0.0
box,352,0.9551062639358257,0.9799198825423168,0.9452439940744554,0.9772727272727273,0.0
plastic_object,627,0.9625877149179493,0.9791996382545783,0.9850037324079607,0.9776714513556619,0.0
