category,count,mean_iou,median_iou,mean_boundary_f1,iou_ge_75,iou_lt_10
robot_gripper,6,0.7352901572650511,0.7945992198590606,0.7269883337208545,0.6666666666666666,0.0
cable,2,0.8512621228900299,0.8512621228900299,0.8072542202224564,1.0,0.0
connector,1,0.9057441253263707,0.9057441253263707,0.7876754211636654,1.0,0.0
tool,1,0.9093938762757758,0.9093938762757758,0.8225867507886435,1.0,0.0
glass_object,3,0.910407225945428,0.9236427835809916,0.8777528664377398,1.0,0.0
screw,2,0.9519716829821359,0.9519716829821359,1.0,1.0,0.0
metal_part,6,0.9677547886038682,0.9682542682749975,0.9920387863174467,1.0,0.0
box,4,0.9794600769604421,0.9824696937753109,0.9739723502319989,1.0,0.0
