dataset,model,prompt_mode,device,fps,latency_mean_ms,mIoU,mask_AP,run_type
isaac_official_unitree_g1,sam_vit_h,point,cuda,0.5770552804898152,1732.9362260599737,0.5738850866510774,0.533635982248893,zero_shot
isaac_official_unitree_g1,sam_vit_h,box,cuda,0.5744903093845258,1740.6733998199888,0.7520193025677744,0.6778063539430256,zero_shot
isaac_official_unitree_g1,sam_vit_h,automatic,cuda,0.11495756491887056,8698.862060150055,0.48622915281592644,0.2764753068593684,zero_shot
isaac_official_unitree_g1,sam_vit_b,point,cuda,2.7072923580228987,369.3727413799843,0.602380797003478,0.546541253183804,zero_shot
isaac_official_unitree_g1,sam_vit_b,box,cuda,2.708780345137191,369.16983755999354,0.7420632008595545,0.6478484391050595,zero_shot
isaac_official_unitree_g1,sam_vit_b,automatic,cuda,0.2009399700752188,4976.610674450012,0.38878916651290735,0.23180374016092023,zero_shot
isaac_official_unitree_g1,sam2_hiera_large,point,cuda,1.6717210376002087,598.1859278600223,0.5951802368075687,0.5643031303045325,zero_shot
isaac_official_unitree_g1,sam2_hiera_large,box,cuda,1.6786698893950633,595.7097379999868,0.7136975551514932,0.6295658291065114,zero_shot
isaac_official_unitree_g1,sam2_hiera_large,automatic,cuda,0.1849105091981392,5408.021449600028,0.38112333984406294,0.2396245809317467,zero_shot
isaac_official_unitree_g1,fastsam_x,point,cuda,2.5136071406606946,397.8346432200033,0.38288829714869455,0.20728682776590868,zero_shot
isaac_official_unitree_g1,fastsam_x,box,cuda,2.928947995205723,341.41951364000306,0.4839182573045611,0.3403384715476681,zero_shot
isaac_official_unitree_g1,fastsam_x,automatic,cuda,2.0994548289277666,476.3141298499477,0.523164727480969,0.2563159336355923,zero_shot
isaac_official_unitree_g1,yolo8_seg,inference,cuda,19.967462803712507,50.08147554000061,0.5395833657336907,0.3313627295095101,baseline
isaac_official_unitree_g1,mask_rcnn,inference,cuda,8.258976007664836,121.08038564005255,0.5643601089104575,0.3818439466456059,baseline
isaac_official_unitree_g1,deeplabv3plus,inference,cuda,34.33168643843706,29.127610780005853,0.6604725763556952,,baseline
blenderproc_cogar_sim,sam_vit_h,point,cuda,0.5720912967303162,1747.9727548999927,0.8041563802744292,0.6488879555992233,zero_shot
blenderproc_cogar_sim,sam_vit_h,box,cuda,0.5743012702524362,1741.2463663199742,0.9226009719268821,0.8679466984608216,zero_shot
blenderproc_cogar_sim,sam_vit_h,automatic,cuda,0.11486303116039132,8706.021336000003,0.8780589809430633,0.5811973987705658,zero_shot
blenderproc_cogar_sim,sam_vit_b,point,cuda,2.6512091285116153,377.1863898799256,0.7882136480852923,0.6345668023258466,zero_shot
blenderproc_cogar_sim,sam_vit_b,box,cuda,2.650693323769749,377.2597874799885,0.9043447232020829,0.8165000009842953,zero_shot
