run_type,dataset,model,prompt_mode,evaluation_type,category,iou,boundary_f1,count
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,transparent_glass,0.6236703484019026,0.6718961403795126,4331
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,semantic_segmentation,metal_part,0.626736979077492,0.3868457753844401,
baseline,blenderproc_cogar_sim,yolo8_seg,inference,instance_segmentation,cable,0.6328129573850056,0.7218309881605853,10
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,screw,0.6354083081510662,0.8208933089928045,7898
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,metal_part,0.6381134251388776,0.7388699750428251,5660
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,robot_gripper,0.6411921433740151,0.6795359229430107,1633
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,transparent_glass,0.6440790569641709,0.692213815039466,4331
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,background_fixture,0.6455957288272552,0.5795464779103303,7980
zero_shot,isaac_official_unitree_g1,sam_vit_h,point,prompted_instance,rubber_part,0.6466424135093601,0.7817032604666847,1707
zero_shot,isaac_official_unitree_g1,fastsam_x,box,prompted_instance,connector,0.6494324012386682,0.7699149267336571,5457
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,cable,0.6494653555568828,0.9033177535940904,3453
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,workbench,0.6514026239491281,0.567947149022546,2991
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,connector,0.6554818445128926,0.774147952453334,5457
zero_shot,isaac_official_unitree_g1,fastsam_x,box,prompted_instance,tool,0.6567764573000434,0.779277163904389,1807
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,rubber_part,0.6576259977564782,0.7944006525557871,1707
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,robot_gripper,0.6595721584066077,0.697197534188698,1633
baseline,blenderproc_cogar_sim,deeplabv3plus,inference,semantic_segmentation,plastic_object,0.6605793825471418,0.5075409654267556,
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,background_fixture,0.6610825339568199,0.6606598743376877,7980
zero_shot,isaac_official_unitree_g1,sam_vit_b,box,prompted_instance,workbench,0.6615775578235493,0.5561177052120242,2991
zero_shot,ocid,sam_vit_h,point,prompted_instance,object,0.6646683849177094,0.6318061573507465,21487
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,background_fixture,0.6652704935898595,0.6392684525245382,7980
zero_shot,isaac_official_unitree_g1,sam_vit_b,automatic,automatic_class_agnostic_proposal,transparent_glass,0.6662718033859757,0.708796584249912,4331
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,point,prompted_instance,rubber_part,0.6684151140105026,0.8232462160569562,1707
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,prompted_instance,robot_gripper,0.6738442868658578,0.7108287635525528,1633
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,automatic_class_agnostic_proposal,screw,0.6769382260677872,0.751182199516934,674
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,screw,0.6770792498742992,0.7474730111805227,674
baseline,isaac_official_unitree_g1,mask_rcnn,inference,instance_segmentation,transparent_glass,0.6791746144866014,0.642104941851091,237
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,robot_gripper,0.6801007566727088,0.7091148823597224,1633
zero_shot,blenderproc_cogar_sim,sam_vit_b,automatic,automatic_class_agnostic_proposal,robot_gripper,0.6832567391622317,0.7223549156174777,1633
zero_shot,isaac_official_unitree_g1,sam_vit_h,box,prompted_instance,workbench,0.6841323022313095,0.6152181204315195,2991
zero_shot,isaac_official_unitree_g1,fastsam_x,automatic,automatic_class_agnostic_proposal,tool,0.6841843229100543,0.8031901724514249,1807
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,table,0.685265772272144,0.6319659190304913,1693
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,workbench,0.6916557503322444,0.5558055672457157,2991
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,tool,0.6918383611581599,0.7402131019329958,500
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,automatic_class_agnostic_proposal,table,0.6930442154440857,0.6149217737259356,1693
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,prompted_instance,screw,0.6939320724321019,0.9366166235444678,7898
zero_shot,isaac_official_unitree_g1,sam_vit_b,point,prompted_instance,metal_part,0.7021384781906027,0.7889422713733303,5660
zero_shot,isaac_official_unitree_g1,fastsam_x,point,prompted_instance,occluder,0.7027371516426475,0.7294923166659436,2214
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,automatic_class_agnostic_proposal,glass_object,0.7036065609145917,0.7189808302664626,634
zero_shot,blenderproc_cogar_sim,fastsam_x,box,prompted_instance,screw,0.7043313755602623,0.8196145490402147,674
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,prompted_instance,glass_object,0.7062891930736198,0.6582613942601921,634
