challenge_primary,FastSAM-S box,MobileSAM box,SAM ViT-B box
dynamic_scene,0.7071105785459868,0.8668778896852131,0.9090888264632646
partial_occlusion,0.6888912837591009,0.8590231999859566,0.8964398299177047
reflective_metal,0.7179654383009771,0.8745696987365016,0.9137544436684504
small_parts,0.694172241850319,0.866008536764628,0.9120012972139637
transparent_glass,0.6894876232351347,0.8624203167803312,0.8946477662517345
