objects,mean_iou,median_iou,mean_boundary_f1,iou_ge_0.90,iou_ge_0.75,iou_ge_0.50,iou_lt_0.10,mean_fps,category_name,run
352,0.7852504951710148,0.9269553298840595,0.8916390539364728,0.5909090909090909,0.7613636363636364,0.8295454545454546,0.06534090909090909,457.85765756025995,box,FastSAM-S box
281,0.49103109676882684,0.6025824964131994,0.8112772773579175,0.028469750889679714,0.25622775800711745,0.5729537366548043,0.19572953736654805,448.043263260971,cable,FastSAM-S box
531,0.7509375306126338,0.8399412628487518,0.9525443330505994,0.2128060263653484,0.7476459510357816,0.8738229755178908,0.05273069679849341,448.8407846323077,connector,FastSAM-S box
360,0.7320351144219345,0.8551590938821003,0.8785739314929814,0.4027777777777778,0.6611111111111111,0.8111111111111111,0.058333333333333334,438.68657179970677,glass_object,FastSAM-S box
555,0.7878408903959635,0.8976897689768977,0.9339493870671336,0.4936936936936937,0.7783783783783784,0.8612612612612612,0.05045045045045045,440.079613487399,metal_part,FastSAM-S box
627,0.7739783681250867,0.8958635703918723,0.9272279115139039,0.48165869218500795,0.7751196172248804,0.8580542264752791,0.0733652312599681,444.77236884523643,plastic_object,FastSAM-S box
1042,0.6425549752943271,0.7466611913400059,0.8226479566592064,0.1401151631477927,0.4932821497120921,0.7658349328214972,0.10748560460652591,543.8458686677545,robot_gripper,FastSAM-S box
427,0.5978093607559102,0.6377749029754204,0.9555779755474297,0.0,0.1522248243559719,0.8571428571428571,0.07494145199063232,456.86231927503434,screw,FastSAM-S box
296,0.6732717210898014,0.8057183050319134,0.8752541500705899,0.25,0.6013513513513513,0.7635135135135135,0.08783783783783784,469.42383068954035,tool,FastSAM-S box
