objects,mean_iou,median_iou,mean_boundary_f1,iou_ge_0.90,iou_ge_0.75,iou_ge_0.50,iou_lt_0.10,mean_fps,category_name,run
352,0.9429040648024938,0.9816508447648139,0.9418540868939299,0.8920454545454546,0.9517045454545454,0.9715909090909091,0.008522727272727272,59.7885943541517,box,SAM ViT-B box
281,0.849177570249266,0.8991108071135431,0.9088551704909563,0.498220640569395,0.8362989323843416,0.9537366548042705,0.0071174377224199285,60.449715920538324,cable,SAM ViT-B box
531,0.9409584309816118,0.964349376114082,0.9872847199496473,0.8888888888888888,0.967984934086629,0.992467043314501,0.0,61.79649862942735,connector,SAM ViT-B box
360,0.9039501059698356,0.9639369877831117,0.868189330192469,0.7194444444444444,0.8916666666666667,0.9777777777777777,0.0,59.16112821868453,glass_object,SAM ViT-B box
555,0.9443218429542096,0.9654874892148404,0.9741920124869229,0.9279279279279279,0.9747747747747748,0.990990990990991,0.0,57.025160366092834,metal_part,SAM ViT-B box
627,0.9601783945879835,0.9763313609467456,0.9839448440740445,0.9330143540669856,0.9808612440191388,0.9968102073365231,0.0,59.22307709133947,plastic_object,SAM ViT-B box
1042,0.8462295876657585,0.9185939720047758,0.8732965334640717,0.5614203454894434,0.8195777351247601,0.927063339731286,0.0067178502879078695,68.45230840834635,robot_gripper,SAM ViT-B box
427,0.8963034054459118,0.9191919191919192,0.9875255877657593,0.6252927400468384,0.955503512880562,0.9929742388758782,0.0,62.807289039969724,screw,SAM ViT-B box
296,0.8889558270750026,0.9504451267294426,0.9126395769851589,0.75,0.8851351351351351,0.9594594594594594,0.006756756756756757,60.67635016005446,tool,SAM ViT-B box
352,0.9089219062885583,0.9744649660310648,0.9761446546436794,0.7982954545454546,0.8892045454545454,0.9460227272727273,0.002840909090909091,67.32723026971462,box,MobileSAM box
281,0.7395138095590238,0.7998511904761905,0.9660929893447865,0.2491103202846975,0.5836298932384342,0.8718861209964412,0.010676156583629894,67.15387855976735,cable,MobileSAM box
531,0.905949608660288,0.9484944532488114,0.9985651463678739,0.7570621468926554,0.9227871939736346,0.9849340866290018,0.0018832391713747645,68.66960547227806,connector,MobileSAM box
360,0.8921593641181652,0.9580169102700472,0.9729856485678571,0.7388888888888889,0.8861111111111111,0.9555555555555556,0.0,65.2080036274535,glass_object,MobileSAM box
555,0.9262578217614853,0.9587078651685392,0.9939123162343078,0.8468468468468469,0.9477477477477477,0.9783783783783784,0.0018018018018018018,64.52379800640198,metal_part,MobileSAM box
627,0.9367452292052258,0.9716946676406136,0.9963485850153577,0.8819776714513556,0.9473684210526315,0.9792663476874003,0.0,66.03860222652115,plastic_object,MobileSAM box
1042,0.8041652873942249,0.8858474619679353,0.9559338874221036,0.45201535508637236,0.7485604606525912,0.9040307101727447,0.012476007677543186,77.50307668077325,robot_gripper,MobileSAM box
427,0.841549430246926,0.8703170028818443,0.9999531615925059,0.3442622950819672,0.8454332552693209,0.9789227166276346,0.0,70.67356290206186,screw,MobileSAM box
296,0.8149132624405506,0.9082760792402649,0.9639612836658206,0.5067567567567568,0.75,0.8986486486486487,0.0033783783783783786,68.12401328517952,tool,MobileSAM box
352,0.7852504951710148,0.9269553298840595,0.8916390539364728,0.5909090909090909,0.7613636363636364,0.8295454545454546,0.06534090909090909,457.85765756025995,box,FastSAM-S box
281,0.49103109676882684,0.6025824964131994,0.8112772773579175,0.028469750889679714,0.25622775800711745,0.5729537366548043,0.19572953736654805,448.043263260971,cable,FastSAM-S box
531,0.7509375306126338,0.8399412628487518,0.9525443330505994,0.2128060263653484,0.7476459510357816,0.8738229755178908,0.05273069679849341,448.8407846323077,connector,FastSAM-S box
360,0.7320351144219345,0.8551590938821003,0.8785739314929814,0.4027777777777778,0.6611111111111111,0.8111111111111111,0.058333333333333334,438.68657179970677,glass_object,FastSAM-S box
555,0.7878408903959635,0.8976897689768977,0.9339493870671336,0.4936936936936937,0.7783783783783784,0.8612612612612612,0.05045045045045045,440.079613487399,metal_part,FastSAM-S box
627,0.7739783681250867,0.8958635703918723,0.9272279115139039,0.48165869218500795,0.7751196172248804,0.8580542264752791,0.0733652312599681,444.77236884523643,plastic_object,FastSAM-S box
1042,0.6425549752943271,0.7466611913400059,0.8226479566592064,0.1401151631477927,0.4932821497120921,0.7658349328214972,0.10748560460652591,543.8458686677545,robot_gripper,FastSAM-S box
427,0.5978093607559102,0.6377749029754204,0.9555779755474297,0.0,0.1522248243559719,0.8571428571428571,0.07494145199063232,456.86231927503434,screw,FastSAM-S box
296,0.6732717210898014,0.8057183050319134,0.8752541500705899,0.25,0.6013513513513513,0.7635135135135135,0.08783783783783784,469.42383068954035,tool,FastSAM-S box
