row_index,image_id,file_name,object_id,category_name,challenge_primary,image_path,gt_mask_path,mask_output_path,iou,boundary_f1,fastsam_score,num_candidate_masks,image_latency_sec,selection_latency_sec,total_latency_sec,fps,run
30,4,000003.png,38,tool,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000038_img_000003_cat_tool.png,outputs/sim_fastsam_s_box_final/masks/row_00030_object_38_fastsam_box_mask.png,0.0,0.1708599627861823,0.279817521572113,23,0.0,0.0021605479996651,0.0021605479996651,462.8455374076336,FastSAM-S box
1326,204,000203.png,1695,metal_part,small_parts,data/cogar_sim_500_final/rgb/000203.png,data/cogar_sim_500_final/instance_masks/final/ann_00001695_img_000203_cat_metal_part.png,outputs/sim_fastsam_s_box_final/masks/row_01326_object_1695_fastsam_box_mask.png,0.0,0.1834101860007253,0.800111711025238,19,0.0,0.0015861550018598,0.0015861550018598,630.4554087257734,FastSAM-S box
4165,604,000603.png,5281,tool,small_parts,data/cogar_sim_500_final/rgb/000603.png,data/cogar_sim_500_final/instance_masks/final/ann_00005281_img_000603_cat_tool.png,outputs/sim_fastsam_s_box_final/masks/row_04165_object_5281_fastsam_box_mask.png,0.0,0.0418041804180418,0.9455498456954956,22,0.0,0.0017277839979215,0.0017277839979215,578.7760514063,FastSAM-S box
2621,381,000380.png,3325,robot_gripper,reflective_metal,data/cogar_sim_500_final/rgb/000380.png,data/cogar_sim_500_final/instance_masks/final/ann_00003325_img_000380_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_02621_object_3325_fastsam_box_mask.png,0.0,0.1177374870009495,0.2954961359500885,24,0.0,0.002004248999583,0.002004248999583,498.9400020696148,FastSAM-S box
2615,381,000380.png,3319,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000380.png,data/cogar_sim_500_final/instance_masks/final/ann_00003319_img_000380_cat_metal_part.png,outputs/sim_fastsam_s_box_final/masks/row_02615_object_3319_fastsam_box_mask.png,0.0,0.0,0.5048778653144836,24,0.0,0.0019823900001938,0.0019823900001938,504.44160831229794,FastSAM-S box
529,78,000077.png,671,screw,partial_occlusion,data/cogar_sim_500_final/rgb/000077.png,data/cogar_sim_500_final/instance_masks/final/ann_00000671_img_000077_cat_screw.png,outputs/sim_fastsam_s_box_final/masks/row_00529_object_671_fastsam_box_mask.png,0.0,0.0,0.4462888538837433,27,0.0,0.002038104001258,0.002038104001258,490.6520959591576,FastSAM-S box
3866,561,000560.png,4897,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000560.png,data/cogar_sim_500_final/instance_masks/final/ann_00004897_img_000560_cat_metal_part.png,outputs/sim_fastsam_s_box_final/masks/row_03866_object_4897_fastsam_box_mask.png,0.0,0.1145093282504476,0.7660098075866699,27,0.0,0.0019163329998264,0.0019163329998264,521.8299742740876,FastSAM-S box
551,80,000079.png,697,robot_gripper,dynamic_scene,data/cogar_sim_500_final/rgb/000079.png,data/cogar_sim_500_final/instance_masks/final/ann_00000697_img_000079_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_00551_object_697_fastsam_box_mask.png,0.0,0.0833500100060036,0.5510009527206421,28,0.0,0.0022925709999981,0.0022925709999981,436.1915072644704,FastSAM-S box
1716,254,000253.png,2185,robot_gripper,small_parts,data/cogar_sim_500_final/rgb/000253.png,data/cogar_sim_500_final/instance_masks/final/ann_00002185_img_000253_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_01716_object_2185_fastsam_box_mask.png,0.0,0.2727556433995631,0.9016878008842468,24,0.0,0.0018868350016418,0.0018868350016418,529.9880483083157,FastSAM-S box
601,87,000086.png,758,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000086.png,data/cogar_sim_500_final/instance_masks/final/ann_00000758_img_000086_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_00601_object_758_fastsam_box_mask.png,0.0,0.0054054054054054,0.4294068217277527,29,0.0,0.0022145309994812,0.0022145309994812,451.56288181753393,FastSAM-S box
3928,572,000571.png,4976,glass_object,transparent_glass,data/cogar_sim_500_final/rgb/000571.png,data/cogar_sim_500_final/instance_masks/final/ann_00004976_img_000571_cat_glass_object.png,outputs/sim_fastsam_s_box_final/masks/row_03928_object_4976_fastsam_box_mask.png,0.0,0.0,0.2919393181800842,23,0.0,0.0024345489982806,0.0024345489982806,410.75369635453006,FastSAM-S box
923,141,000140.png,1179,tool,reflective_metal,data/cogar_sim_500_final/rgb/000140.png,data/cogar_sim_500_final/instance_masks/final/ann_00001179_img_000140_cat_tool.png,outputs/sim_fastsam_s_box_final/masks/row_00923_object_1179_fastsam_box_mask.png,0.0,0.0,0.7771736979484558,11,0.0,0.001323627999227,0.001323627999227,755.4992796948837,FastSAM-S box
928,143,000142.png,1188,plastic_object,partial_occlusion,data/cogar_sim_500_final/rgb/000142.png,data/cogar_sim_500_final/instance_masks/final/ann_00001188_img_000142_cat_plastic_object.png,outputs/sim_fastsam_s_box_final/masks/row_00928_object_1188_fastsam_box_mask.png,0.0,0.0,0.3592219352722168,27,0.0,0.001908516002004,0.001908516002004,523.9673122729656,FastSAM-S box
3337,484,000483.png,4222,plastic_object,small_parts,data/cogar_sim_500_final/rgb/000483.png,data/cogar_sim_500_final/instance_masks/final/ann_00004222_img_000483_cat_plastic_object.png,outputs/sim_fastsam_s_box_final/masks/row_03337_object_4222_fastsam_box_mask.png,0.0,0.0,0.7292198538780212,27,0.0,0.0020841990008193,0.0020841990008193,479.8006330522535,FastSAM-S box
2499,363,000362.png,3166,box,partial_occlusion,data/cogar_sim_500_final/rgb/000362.png,data/cogar_sim_500_final/instance_masks/final/ann_00003166_img_000362_cat_box.png,outputs/sim_fastsam_s_box_final/masks/row_02499_object_3166_fastsam_box_mask.png,0.0,0.1131672597864768,0.8598166108131409,23,0.0405543910019332,0.0018001150019699,0.0423545060039032,23.61023877619642,FastSAM-S box
4274,620,000619.png,5416,plastic_object,dynamic_scene,data/cogar_sim_500_final/rgb/000619.png,data/cogar_sim_500_final/instance_masks/final/ann_00005416_img_000619_cat_plastic_object.png,outputs/sim_fastsam_s_box_final/masks/row_04274_object_5416_fastsam_box_mask.png,0.0,0.1603107726476814,0.281063824892044,23,0.0,0.0016861580006661,0.0016861580006661,593.0642321804428,FastSAM-S box
2076,312,000311.png,2646,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000311.png,data/cogar_sim_500_final/instance_masks/final/ann_00002646_img_000311_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_02076_object_2646_fastsam_box_mask.png,0.0,0.1694523232741305,0.5443366765975952,18,0.0,0.0016444449975097,0.0016444449975097,608.1079035871469,FastSAM-S box
181,25,000024.png,229,plastic_object,dynamic_scene,data/cogar_sim_500_final/rgb/000024.png,data/cogar_sim_500_final/instance_masks/final/ann_00000229_img_000024_cat_plastic_object.png,outputs/sim_fastsam_s_box_final/masks/row_00181_object_229_fastsam_box_mask.png,0.0,0.0,0.7131772637367249,21,0.0,0.0024020179989747,0.0024020179989747,416.31661395827183,FastSAM-S box
1209,185,000184.png,1542,robot_gripper,dynamic_scene,data/cogar_sim_500_final/rgb/000184.png,data/cogar_sim_500_final/instance_masks/final/ann_00001542_img_000184_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_01209_object_1542_fastsam_box_mask.png,0.0,0.0,0.408918172121048,16,0.0,0.001884298002551,0.001884298002551,530.7016186644254,FastSAM-S box
1659,248,000247.png,2117,connector,partial_occlusion,data/cogar_sim_500_final/rgb/000247.png,data/cogar_sim_500_final/instance_masks/final/ann_00002117_img_000247_cat_connector.png,outputs/sim_fastsam_s_box_final/masks/row_01659_object_2117_fastsam_box_mask.png,0.0,0.2409638554216867,0.8116353154182434,29,0.0,0.0023904310000943,0.0023904310000943,418.33460156788095,FastSAM-S box
2882,419,000418.png,3652,screw,small_parts,data/cogar_sim_500_final/rgb/000418.png,data/cogar_sim_500_final/instance_masks/final/ann_00003652_img_000418_cat_screw.png,outputs/sim_fastsam_s_box_final/masks/row_02882_object_3652_fastsam_box_mask.png,0.0,0.4797047970479705,0.6693440675735474,21,0.0,0.0016658969980198,0.0016658969980198,600.27720872816,FastSAM-S box
2965,431,000430.png,3757,tool,reflective_metal,data/cogar_sim_500_final/rgb/000430.png,data/cogar_sim_500_final/instance_masks/final/ann_00003757_img_000430_cat_tool.png,outputs/sim_fastsam_s_box_final/masks/row_02965_object_3757_fastsam_box_mask.png,0.0,0.0571214098050079,0.5704953670501709,19,0.0,0.0018258470008731,0.0018258470008731,547.6910165647867,FastSAM-S box
946,144,000143.png,1209,connector,small_parts,data/cogar_sim_500_final/rgb/000143.png,data/cogar_sim_500_final/instance_masks/final/ann_00001209_img_000143_cat_connector.png,outputs/sim_fastsam_s_box_final/masks/row_00946_object_1209_fastsam_box_mask.png,0.0,0.0,0.7652223706245422,31,0.0,0.0022475779987871,0.0022475779987871,444.9233799848632,FastSAM-S box
685,103,000102.png,871,robot_gripper,partial_occlusion,data/cogar_sim_500_final/rgb/000102.png,data/cogar_sim_500_final/instance_masks/final/ann_00000871_img_000102_cat_robot_gripper.png,outputs/sim_fastsam_s_box_final/masks/row_00685_object_871_fastsam_box_mask.png,0.0,0.0,0.5845126509666443,15,0.0,0.001973498998268,0.001973498998268,506.7142171734609,FastSAM-S box
1436,219,000218.png,1833,connector,small_parts,data/cogar_sim_500_final/rgb/000218.png,data/cogar_sim_500_final/instance_masks/final/ann_00001833_img_000218_cat_connector.png,outputs/sim_fastsam_s_box_final/masks/row_01436_object_1833_fastsam_box_mask.png,0.0,0.1309164149043303,0.8989017605781555,34,0.0,0.0031758320001245,0.0031758320001245,314.8781169661359,FastSAM-S box
