objects,mean_iou,median_iou,mean_boundary_f1,iou_ge_0.90,iou_ge_0.75,iou_ge_0.50,iou_lt_0.10,mean_fps,challenge_primary,run
797,0.7071105785459868,0.8398268398268398,0.883576845614683,0.33877038895859474,0.6474278544542033,0.7992471769134254,0.10163111668757842,487.57273703409896,dynamic_scene,FastSAM-S box
920,0.6888912837591009,0.8113961751724476,0.8774914094566102,0.2847826086956522,0.5858695652173913,0.7934782608695652,0.08695652173913043,464.4414701421922,partial_occlusion,FastSAM-S box
743,0.7179654383009771,0.8424420154625433,0.8883376079762828,0.35262449528936746,0.6419919246298789,0.8075370121130552,0.07806191117092867,481.2321618189832,reflective_metal,FastSAM-S box
1269,0.694172241850319,0.7759626604434072,0.9241475025103607,0.19936958234830576,0.5334909377462569,0.8439716312056738,0.0677698975571316,457.73035292612286,small_parts,FastSAM-S box
742,0.6894876232351347,0.8215950777552219,0.8674564113255563,0.3005390835579515,0.5943396226415094,0.7776280323450134,0.0889487870619946,475.5582978453635,transparent_glass,FastSAM-S box
