objects,mean_iou,median_iou,mean_boundary_f1,iou_ge_0.90,iou_ge_0.75,iou_ge_0.50,iou_lt_0.10,mean_fps,challenge_primary,run
797,0.9090888264632646,0.9632308619650392,0.9393893282635578,0.767879548306148,0.9146800501882058,0.9636135508155583,0.006273525721455458,61.379448245318585,dynamic_scene,SAM ViT-B box
920,0.8964398299177047,0.9548000688244132,0.9229901516071981,0.7184782608695652,0.8989130434782608,0.9608695652173913,0.005434782608695652,62.682573615324806,partial_occlusion,SAM ViT-B box
743,0.9137544436684504,0.9581950895819508,0.9388301026612978,0.8034993270524899,0.9205921938088829,0.9703903095558546,0.0013458950201884253,60.28099327280364,reflective_metal,SAM ViT-B box
1269,0.9120012972139637,0.9491525423728814,0.9615018592930856,0.760441292356186,0.9369582348305753,0.9818754925137904,0.0,63.109281383738605,small_parts,SAM ViT-B box
742,0.8946477662517345,0.9560983329318009,0.8996983013881977,0.706199460916442,0.8840970350404312,0.9690026954177897,0.004043126684636119,61.41524128086435,transparent_glass,SAM ViT-B box
797,0.8668778896852131,0.9454855195911414,0.9789082671450201,0.6637390213299874,0.8343789209535759,0.9385194479297365,0.005018820577164366,68.3151742596332,dynamic_scene,MobileSAM box
920,0.8590231999859566,0.9337972634665146,0.9754680335799099,0.6119565217391304,0.8315217391304348,0.9326086956521739,0.004347826086956522,69.85304844547335,partial_occlusion,MobileSAM box
743,0.8745696987365016,0.945945945945946,0.9777114631611824,0.6796769851951547,0.8640646029609691,0.9380888290713324,0.0026917900403768506,68.53204787666883,reflective_metal,MobileSAM box
1269,0.866008536764628,0.9227941176470588,0.9874663726601862,0.578408195429472,0.8494877856579984,0.9676910953506698,0.0015760441292356187,71.38539741328646,small_parts,MobileSAM box
742,0.8624203167803312,0.9425188282101652,0.9746099727455279,0.6455525606469003,0.8342318059299192,0.9393530997304582,0.01078167115902965,68.20205401596988,transparent_glass,MobileSAM box
797,0.7071105785459868,0.8398268398268398,0.883576845614683,0.33877038895859474,0.6474278544542033,0.7992471769134254,0.10163111668757842,487.57273703409896,dynamic_scene,FastSAM-S box
920,0.6888912837591009,0.8113961751724476,0.8774914094566102,0.2847826086956522,0.5858695652173913,0.7934782608695652,0.08695652173913043,464.4414701421922,partial_occlusion,FastSAM-S box
743,0.7179654383009771,0.8424420154625433,0.8883376079762828,0.35262449528936746,0.6419919246298789,0.8075370121130552,0.07806191117092867,481.2321618189832,reflective_metal,FastSAM-S box
1269,0.694172241850319,0.7759626604434072,0.9241475025103607,0.19936958234830576,0.5334909377462569,0.8439716312056738,0.0677698975571316,457.73035292612286,small_parts,FastSAM-S box
742,0.6894876232351347,0.8215950777552219,0.8674564113255563,0.3005390835579515,0.5943396226415094,0.7776280323450134,0.0889487870619946,475.5582978453635,transparent_glass,FastSAM-S box
