category_name,FastSAM-S box,MobileSAM box,SAM ViT-B box
box,0.7852504951710148,0.9089219062885583,0.9429040648024938
cable,0.49103109676882684,0.7395138095590238,0.849177570249266
connector,0.7509375306126338,0.905949608660288,0.9409584309816118
glass_object,0.7320351144219345,0.8921593641181652,0.9039501059698356
metal_part,0.7878408903959635,0.9262578217614853,0.9443218429542096
plastic_object,0.7739783681250867,0.9367452292052258,0.9601783945879835
robot_gripper,0.6425549752943271,0.8041652873942249,0.8462295876657585
screw,0.5978093607559102,0.841549430246926,0.8963034054459118
tool,0.6732717210898014,0.8149132624405506,0.8889558270750026
