object_id,count,box_mean_iou,point_mean_iou,mean_iou_delta_point_minus_box,median_iou_delta_point_minus_box,min_iou_delta_point_minus_box,max_iou_delta_point_minus_box,box_wins,point_wins,ties
10,3,0.8913500560649785,0.10686720202126554,-0.7844828540437129,-0.7841842995401048,-0.7892952603998096,-0.7799690021912244,3,0,0
5,8,0.9042726620522262,0.721091295996386,-0.1831813660558403,-0.219488558481493,-0.23297308983751241,-0.02336608985390265,8,0,0
8,5,0.8021234937600129,0.6373549615263114,-0.16476853223370141,-0.04672702302881704,-0.7170036964557512,0.00465997122399342,4,1,0
7,6,0.7721235832475147,0.6466623879051182,-0.12546119534239647,-0.12857517985962885,-0.18913247639329878,-0.06859603101954537,6,0,0
6,7,0.82938443924225,0.7371914562961923,-0.09219298294605768,-0.05790284535367762,-0.2331654345339721,-0.01227658539158838,7,0,0
3,10,0.8871323358331435,0.8578365150405748,-0.029295820792568872,-0.008091941555305626,-0.17865674921905284,-0.0022972112743114836,10,0,0
4,9,0.8266984366280059,0.8274214933439623,0.0007230567159563433,0.0012533929925413467,-0.006293190981772279,0.00637106842253643,3,6,0
9,4,0.8768134564119432,0.8806466734556233,0.003833217043680004,0.0037113690828172174,0.0016454525674499676,0.006264677441635613,0,4,0
