challenge_primary,box,cable,connector,glass_object,metal_part,plastic_object,robot_gripper,screw,tool
dynamic_scene,47,65,59,34,54,266,234,14,24
partial_occlusion,115,69,71,54,88,133,291,48,51
reflective_metal,61,17,29,0,266,51,132,20,167
small_parts,63,92,331,0,106,102,195,345,35
transparent_glass,66,38,41,272,41,75,190,0,19
