primary_challenge,count,mean,median,std,min,max
transparent_glass,1163,0.86297101001913,0.934848266935136,0.17276052611231815,0.0,0.9970249644289224
partial_occlusion,1368,0.8836896255334376,0.9416103981880091,0.1545998153558276,0.0012883830792355,0.9940824330833276
reflective_metal,1271,0.8967794829810725,0.9497991967871486,0.1464790404198003,0.0004310630678426,0.994381468703795
small_parts,2186,0.8992293921352045,0.9344485642562566,0.11367846563866563,0.0004858791375645,0.9928625912607606
dynamic_scene,1286,0.906452891562164,0.9567977097373492,0.12992827109064864,0.0092788971367974,0.9933049300060864
