row_index,file_name,object_id,image_path,gt_mask_path,sam_mask_path,sam_score,stability_score,generated_mask_count,iou,boundary_f1,image_gen_latency_sec,image_gen_fps,device,model_type
0,000000.png,3,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000003_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0000_object_3_sam_auto_mask.png,0.9495411515235901,0.9757053256034851,26,0.9717928902627512,0.994487849302593,13.989688380000189,0.07148122051307525,cuda,vit_b
1,000000.png,4,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000004_img_000000_cat_tool.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0001_object_4_sam_auto_mask.png,0.9306156635284424,0.9704681038856506,26,0.6909861668897813,0.7122156244654594,13.989688380000189,0.07148122051307525,cuda,vit_b
2,000000.png,5,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000005_img_000000_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0002_object_5_sam_auto_mask.png,0.9857230186462402,0.982813835144043,26,0.9791855203619909,0.999129677980853,13.989688380000189,0.07148122051307525,cuda,vit_b
3,000000.png,6,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000006_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0003_object_6_sam_auto_mask.png,1.0122138261795044,0.9918946027755737,26,0.9911200807265389,1.0,13.989688380000189,0.07148122051307525,cuda,vit_b
4,000000.png,7,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000007_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0004_object_7_sam_auto_mask.png,1.0018004179000854,0.9835893511772156,26,0.9794805194805195,0.9936305732484078,13.989688380000189,0.07148122051307525,cuda,vit_b
5,000000.png,8,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000008_img_000000_cat_screw.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0005_object_8_sam_auto_mask.png,0.9688224196434021,0.9816513657569885,26,0.9302325581395349,1.0,13.989688380000189,0.07148122051307525,cuda,vit_b
6,000000.png,9,data/cogar_sim_500_v2/rgb/000000.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000009_img_000000_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0006_object_9_sam_auto_mask.png,1.0104167461395264,0.9853789806365967,26,0.9743153918791313,1.0,13.989688380000189,0.07148122051307525,cuda,vit_b
7,000001.png,11,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000011_img_000001_cat_connector.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0007_object_11_sam_auto_mask.png,0.9923795461654663,0.957507848739624,20,0.9244881680404148,0.8143877748048437,14.00477817599949,0.07140420129707854,cuda,vit_b
8,000001.png,12,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000012_img_000001_cat_glass_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0008_object_12_sam_auto_mask.png,0.9382578134536743,0.960634708404541,20,0.9393360752056404,0.8594540566088904,14.00477817599949,0.07140420129707854,cuda,vit_b
9,000001.png,13,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000013_img_000001_cat_glass_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0009_object_13_sam_auto_mask.png,0.9708672165870667,0.9791944026947021,20,0.9865526687142027,1.0,14.00477817599949,0.07140420129707854,cuda,vit_b
10,000001.png,14,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000014_img_000001_cat_cable.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0010_object_14_sam_auto_mask.png,0.9780499935150146,0.9750143885612488,20,0.7494768879589119,0.6215475668566418,14.00477817599949,0.07140420129707854,cuda,vit_b
11,000001.png,15,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000015_img_000001_cat_robot_gripper.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0011_object_15_sam_auto_mask.png,0.9698687195777893,0.9661701917648315,20,0.6692030045849185,0.5512638273043488,14.00477817599949,0.07140420129707854,cuda,vit_b
12,000001.png,16,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000016_img_000001_cat_robot_gripper.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0012_object_16_sam_auto_mask.png,0.9533097743988037,0.9731088876724243,20,0.7312560856864654,0.7453416149068323,14.00477817599949,0.07140420129707854,cuda,vit_b
13,000001.png,17,data/cogar_sim_500_v2/rgb/000001.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000017_img_000001_cat_robot_gripper.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0013_object_17_sam_auto_mask.png,0.9329468011856079,0.9680851101875305,20,0.21739130434782608,0.3680555555555556,14.00477817599949,0.07140420129707854,cuda,vit_b
14,000002.png,20,data/cogar_sim_500_v2/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000020_img_000002_cat_glass_object.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0014_object_20_sam_auto_mask.png,0.9531916975975037,0.9733293652534485,27,0.9863609112709832,0.9920634920634921,14.437461063999763,0.06926425606047379,cuda,vit_b
15,000002.png,21,data/cogar_sim_500_v2/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000021_img_000002_cat_box.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0015_object_21_sam_auto_mask.png,1.0064491033554077,0.9833568334579468,27,0.9893024489435063,1.0,14.437461063999763,0.06926425606047379,cuda,vit_b
16,000002.png,22,data/cogar_sim_500_v2/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000022_img_000002_cat_screw.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0016_object_22_sam_auto_mask.png,0.9686949253082275,0.9864864945411682,27,0.9484304932735426,0.9887640449438202,14.437461063999763,0.06926425606047379,cuda,vit_b
17,000002.png,23,data/cogar_sim_500_v2/rgb/000002.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500_v2/instance_masks/v2/ann_00000023_img_000002_cat_metal_part.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_auto_v2/masks/row_0017_object_23_sam_auto_mask.png,1.001801609992981,0.9884659647941589,27,0.9761958739514849,1.0,14.437461063999763,0.06926425606047379,cuda,vit_b
