row_index,file_name,object_id,image_path,gt_mask_path,point_x,point_y,sam_score,iou,boundary_f1,latency_sec,fps,mask_output_path,visualization_output_path,device,model_type
36,000003.png,45,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000045_img_000003_cat_screw.png,448.0,354.0,0.950332760810852,0.9182692307692307,1.0,0.012743628000407625,78.47058937753154,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0036_object_45_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0036_object_45_sam_point_visualization.png,cuda,vit_b
37,000003.png,46,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000046_img_000003_cat_screw.png,273.0,143.0,0.9187963604927063,0.026153846153846153,0.4473684210526315,0.012380680000205757,80.77100773005851,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0037_object_46_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0037_object_46_sam_point_visualization.png,cuda,vit_b
38,000003.png,47,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000047_img_000003_cat_screw.png,232.0,149.0,0.9242655634880066,0.9267241379310345,1.0,0.012619705999895814,79.24114872472114,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0038_object_47_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0038_object_47_sam_point_visualization.png,cuda,vit_b
39,000003.png,48,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000048_img_000003_cat_cable.png,408.0,161.0,0.8560249209403992,0.6885665529010239,0.8428571428571429,0.0133175940000001,75.08863838317886,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0039_object_48_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0039_object_48_sam_point_visualization.png,cuda,vit_b
40,000003.png,49,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000049_img_000003_cat_screw.png,404.0,291.0,0.9445481896400452,0.9289940828402367,1.0,0.012482621999879484,80.11137403741415,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0040_object_49_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0040_object_49_sam_point_visualization.png,cuda,vit_b
41,000003.png,50,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000050_img_000003_cat_connector.png,296.0,139.0,0.9031526446342468,0.9348148148148148,1.0,0.012442380000265985,80.37047574327602,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0041_object_50_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0041_object_50_sam_point_visualization.png,cuda,vit_b
42,000003.png,51,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000051_img_000003_cat_connector.png,276.0,153.0,0.9193383455276489,0.940809968847352,1.0,0.01244648000010784,80.3440008734466,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0042_object_51_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0042_object_51_sam_point_visualization.png,cuda,vit_b
43,000003.png,52,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000052_img_000003_cat_screw.png,247.0,275.0,0.6732989549636841,0.7631578947368421,0.9824561403508771,0.013100590000249213,76.33243998789192,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0043_object_52_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0043_object_52_sam_point_visualization.png,cuda,vit_b
44,000003.png,53,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000053_img_000003_cat_screw.png,380.0,214.0,0.8254547715187073,0.9287925696594427,1.0,0.013303491999977268,75.16823402469883,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0044_object_53_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0044_object_53_sam_point_visualization.png,cuda,vit_b
45,000003.png,54,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000054_img_000003_cat_cable.png,343.0,253.0,0.880752682685852,0.36504580690627203,0.4974498469908194,0.013161903000309394,75.97685532073083,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0045_object_54_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0045_object_54_sam_point_visualization.png,cuda,vit_b
46,000003.png,55,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000055_img_000003_cat_connector.png,271.0,168.0,0.8297061324119568,0.8940609951845907,0.9932885906040269,0.012741690999973798,78.48251852929539,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0046_object_55_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0046_object_55_sam_point_visualization.png,cuda,vit_b
47,000003.png,56,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000056_img_000003_cat_connector.png,198.0,304.0,0.824885368347168,0.9566010211524435,0.9844236760124611,0.012308860999837634,81.24228553829562,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0047_object_56_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0047_object_56_sam_point_visualization.png,cuda,vit_b
48,000003.png,57,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000057_img_000003_cat_screw.png,100.0,202.0,0.9371148347854614,0.9447236180904522,1.0,0.012376530999972601,80.79808469774073,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0048_object_57_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0048_object_57_sam_point_visualization.png,cuda,vit_b
49,000003.png,58,data/cogar_sim_500/rgb/000003.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/data/cogar_sim_500/instance_masks/all/ann_00000058_img_000003_cat_cable.png,184.0,330.0,0.7044394016265869,0.43482397716460514,0.7499756153070845,0.012353049000012106,80.95167435982971,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/masks/row_0049_object_58_sam_point_mask.png,/home/amir/Desktop/COGAR/COGAR_Foundation-Model-Segmentation-for-Robotic-Scenes/outputs/sim_sam_vit_b_point_50/visualizations/row_0049_object_58_sam_point_visualization.png,cuda,vit_b
