row_index,image_id,file_name,object_id,category_name,challenge_primary,image_path,gt_mask_path,mask_output_path,iou,boundary_f1,sam_score,image_latency_sec,prediction_latency_sec,total_latency_sec,fps
0,1,000000.png,3,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000003_img_000000_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00000_object_3_mobilesam_box_mask.png,0.9617169373549884,1.0,0.9910662174224854,0.3474377180027659,0.04661512600068818,0.3940528440034541,2.5377307008885195
1,1,000000.png,4,tool,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000004_img_000000_cat_tool.png,outputs/sim_mobilesam_box_final/masks/row_00001_object_4_mobilesam_box_mask.png,0.87609736632083,0.9824970828471411,0.9881222248077393,0.0,0.013353667000046698,0.013353667000046698,74.88579728673052
2,1,000000.png,5,box,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000005_img_000000_cat_box.png,outputs/sim_mobilesam_box_final/masks/row_00002_object_5_mobilesam_box_mask.png,0.9776191394945013,1.0,1.003822684288025,0.0,0.012762825001118472,0.012762825001118472,78.35255908565422
3,1,000000.png,6,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000006_img_000000_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00003_object_6_mobilesam_box_mask.png,0.9819204499799116,1.0,1.0062079429626465,0.0,0.013262985998153454,0.013262985998153454,75.39780258677989
4,1,000000.png,7,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000007_img_000000_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00004_object_7_mobilesam_box_mask.png,0.9766203403039356,1.0,1.0034887790679932,0.0,0.013270776998979272,0.013270776998979272,75.35353808423693
5,1,000000.png,8,screw,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000008_img_000000_cat_screw.png,outputs/sim_mobilesam_box_final/masks/row_00005_object_8_mobilesam_box_mask.png,0.9120370370370371,1.0,0.9736270904541016,0.0,0.013285462999192532,0.013285462999192532,75.27024086859286
6,1,000000.png,9,metal_part,reflective_metal,data/cogar_sim_500_final/rgb/000000.png,data/cogar_sim_500_final/instance_masks/final/ann_00000009_img_000000_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00006_object_9_mobilesam_box_mask.png,0.970371768258162,1.0,1.0022356510162354,0.0,0.012999496000702493,0.012999496000702493,76.92605928306452
7,2,000001.png,11,connector,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000011_img_000001_cat_connector.png,outputs/sim_mobilesam_box_final/masks/row_00007_object_11_mobilesam_box_mask.png,0.9545454545454546,1.0,1.0017354488372803,0.029224783000245225,0.1443217199994251,0.17354650299967034,5.762144340078691
8,2,000001.png,12,glass_object,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000012_img_000001_cat_glass_object.png,outputs/sim_mobilesam_box_final/masks/row_00008_object_12_mobilesam_box_mask.png,0.9403028966328482,1.0,0.9892847537994385,0.0,0.012647689996811096,0.012647689996811096,79.06582152568045
9,2,000001.png,13,glass_object,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000013_img_000001_cat_glass_object.png,outputs/sim_mobilesam_box_final/masks/row_00009_object_13_mobilesam_box_mask.png,0.983665008291874,1.0,1.0121296644210815,0.0,0.012787398998625576,0.012787398998625576,78.201986198091
10,2,000001.png,14,cable,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000014_img_000001_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_00010_object_14_mobilesam_box_mask.png,0.7616840478949402,1.0,0.9858131408691406,0.0,0.012693494998529786,0.012693494998529786,78.7805092384583
11,2,000001.png,15,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000015_img_000001_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00011_object_15_mobilesam_box_mask.png,0.843549292261645,0.91843160903966,0.9902439117431641,0.0,0.012875134001660626,0.012875134001660626,77.66909454076522
12,2,000001.png,16,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000016_img_000001_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00012_object_16_mobilesam_box_mask.png,0.49302166281359705,0.8709145608822405,0.9736278057098389,0.0,0.012822311000491027,0.012822311000491027,77.98906140723815
13,2,000001.png,17,robot_gripper,transparent_glass,data/cogar_sim_500_final/rgb/000001.png,data/cogar_sim_500_final/instance_masks/final/ann_00000017_img_000001_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00013_object_17_mobilesam_box_mask.png,0.16089927264712364,0.6025768087215064,0.7823405265808105,0.0,0.012623317001271062,0.012623317001271062,79.2184811566808
14,3,000002.png,20,glass_object,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000020_img_000002_cat_glass_object.png,outputs/sim_mobilesam_box_final/masks/row_00014_object_20_mobilesam_box_mask.png,0.9791447861965491,1.0,0.9963699579238892,0.028067090002878103,0.14475799399951939,0.1728250840023975,5.7861971007989075
15,3,000002.png,21,box,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000021_img_000002_cat_box.png,outputs/sim_mobilesam_box_final/masks/row_00015_object_21_mobilesam_box_mask.png,0.9909694555112882,1.0,0.9993512630462646,0.0,0.012622514997929102,0.012622514997929102,79.22351450278046
16,3,000002.png,22,screw,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000022_img_000002_cat_screw.png,outputs/sim_mobilesam_box_final/masks/row_00016_object_22_mobilesam_box_mask.png,0.9314159292035398,1.0,0.9885445833206177,0.0,0.012979585000721272,0.012979585000721272,77.04406573433822
17,3,000002.png,23,metal_part,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000023_img_000002_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00017_object_23_mobilesam_box_mask.png,0.9749631811487481,1.0,1.0122836828231812,0.0,0.012671421001869021,0.012671421001869021,78.91774725601029
18,3,000002.png,24,box,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000024_img_000002_cat_box.png,outputs/sim_mobilesam_box_final/masks/row_00018_object_24_mobilesam_box_mask.png,0.9861291720849589,1.0,1.0052255392074585,0.0,0.012676161000854336,0.012676161000854336,78.88823752969081
19,3,000002.png,25,metal_part,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000025_img_000002_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00019_object_25_mobilesam_box_mask.png,0.9708029197080292,1.0,0.9999476671218872,0.0,0.012766655003360938,0.012766655003360938,78.32905328269158
20,3,000002.png,26,robot_gripper,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000026_img_000002_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00020_object_26_mobilesam_box_mask.png,0.9758937691521962,1.0,0.9970220327377319,0.0,0.013220590000855736,0.013220590000855736,75.6395894536683
21,3,000002.png,27,robot_gripper,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000027_img_000002_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00021_object_27_mobilesam_box_mask.png,0.9258015267175572,1.0,0.9829367399215698,0.0,0.01295586100241053,0.01295586100241053,77.18514422267597
22,3,000002.png,28,robot_gripper,partial_occlusion,data/cogar_sim_500_final/rgb/000002.png,data/cogar_sim_500_final/instance_masks/final/ann_00000028_img_000002_cat_robot_gripper.png,outputs/sim_mobilesam_box_final/masks/row_00022_object_28_mobilesam_box_mask.png,0.9226480836236933,1.0,0.9922477006912231,0.0,0.013037396998697659,0.013037396998697659,76.70242764716704
23,4,000003.png,31,box,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000031_img_000003_cat_box.png,outputs/sim_mobilesam_box_final/masks/row_00023_object_31_mobilesam_box_mask.png,0.9857178034966757,1.0,0.9887367486953735,0.027867802000400843,0.14473221699881833,0.17260001899921917,5.793742120066185
24,4,000003.png,32,cable,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000032_img_000003_cat_cable.png,outputs/sim_mobilesam_box_final/masks/row_00024_object_32_mobilesam_box_mask.png,0.9560073937153419,1.0,0.998282790184021,0.0,0.01255377900088206,0.01255377900088206,79.65728884742495
25,4,000003.png,33,metal_part,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000033_img_000003_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00025_object_33_mobilesam_box_mask.png,0.8946381702287214,1.0,0.9987168312072754,0.0,0.012981577001482947,0.012981577001482947,77.03224345437887
26,4,000003.png,34,screw,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000034_img_000003_cat_screw.png,outputs/sim_mobilesam_box_final/masks/row_00026_object_34_mobilesam_box_mask.png,0.7074074074074074,1.0,0.9647659063339233,0.0,0.01280698700065841,0.01280698700065841,78.08237799793112
27,4,000003.png,35,connector,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000035_img_000003_cat_connector.png,outputs/sim_mobilesam_box_final/masks/row_00027_object_35_mobilesam_box_mask.png,0.9725708972570897,1.0,1.0036859512329102,0.0,0.013016155000514118,0.013016155000514118,76.82760384771859
28,4,000003.png,36,screw,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000036_img_000003_cat_screw.png,outputs/sim_mobilesam_box_final/masks/row_00028_object_36_mobilesam_box_mask.png,0.8205128205128205,1.0,0.994088888168335,0.0,0.012645811999391299,0.012645811999391299,79.07756339000885
29,4,000003.png,37,plastic_object,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000037_img_000003_cat_plastic_object.png,outputs/sim_mobilesam_box_final/masks/row_00029_object_37_mobilesam_box_mask.png,0.9619129438717068,1.0,1.0071544647216797,0.0,0.01265766500000609,0.01265766500000609,79.00351289116269
30,4,000003.png,38,tool,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000038_img_000003_cat_tool.png,outputs/sim_mobilesam_box_final/masks/row_00030_object_38_mobilesam_box_mask.png,0.42248722316865417,0.6897214217098944,0.9671943187713623,0.0,0.012635669998417143,0.012635669998417143,79.14103487391401
31,4,000003.png,39,metal_part,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000039_img_000003_cat_metal_part.png,outputs/sim_mobilesam_box_final/masks/row_00031_object_39_mobilesam_box_mask.png,0.9816254416961131,1.0,0.9985270500183105,0.0,0.012645036997128045,0.012645036997128045,79.08240997848571
32,4,000003.png,40,plastic_object,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000040_img_000003_cat_plastic_object.png,outputs/sim_mobilesam_box_final/masks/row_00032_object_40_mobilesam_box_mask.png,0.9719183078045223,1.0,1.005059003829956,0.0,0.012845298002503114,0.012845298002503114,77.8494979100628
33,4,000003.png,41,plastic_object,small_parts,data/cogar_sim_500_final/rgb/000003.png,data/cogar_sim_500_final/instance_masks/final/ann_00000041_img_000003_cat_plastic_object.png,outputs/sim_mobilesam_box_final/masks/row_00033_object_41_mobilesam_box_mask.png,0.47116104868913855,0.9630872483221476,0.9496318101882935,0.0,0.012828474998968886,0.012828474998968886,77.95158817243491
34,5,000004.png,44,glass_object,dynamic_scene,data/cogar_sim_500_final/rgb/000004.png,data/cogar_sim_500_final/instance_masks/final/ann_00000044_img_000004_cat_glass_object.png,outputs/sim_mobilesam_box_final/masks/row_00034_object_44_mobilesam_box_mask.png,0.951055703373101,0.942943718276452,1.0001623630523682,0.02913105299739982,0.14415238000219688,0.1732834329995967,5.770892131403741
