category_name,count,mean,median,std,min,max
cable,631,0.7852926394273787,0.871976401179941,0.21593297273182627,9.538344143456696e-05,0.9794480328831474
tool,560,0.8281494732552488,0.9151827306343946,0.20280403100784597,0.0,0.9822494755526868
glass_object,778,0.833048328887252,0.9061673715923053,0.18607669097308166,0.0,0.9948088721094857
robot_gripper,783,0.8362373911818909,0.9101978691019786,0.19480599244938573,0.0,0.9890361642938964
screw,1463,0.8623269140378235,0.9057591623036648,0.1310119658136677,0.0,1.0
connector,1041,0.9071199291409713,0.952762547448334,0.1350678548593769,0.0,0.9920134510298444
metal_part,766,0.917069685045479,0.9588738065283701,0.12548104852792896,0.0852293246659443,0.9887323943661972
box,658,0.9294243224677791,0.976834710128749,0.13726363341461773,0.0004858791375645,0.9961764705882352
plastic_object,1046,0.9349944721255278,0.9715980088295559,0.11887803445239066,0.0,1.0
