dataset,model,prompt_mode,status,records,instances,mIoU,boundary_f1,mask_AP,mask_AP50,mask_AP75,elapsed_s,metrics_file
blenderproc_cogar_sim,mobile_sam_vit_t,box,ok,8768,8768,0.8826941203343891,0.8728030421604923,0.7572255628171413,0.9282403035616218,0.7903139437768473,38.10183848999441,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/mobile_sam_vit_t/box_metrics.json
blenderproc_cogar_sim,mobile_sam_vit_t,automatic,ok,1000,8768,0.8100797823937922,0.7975408060643621,0.47115992832101244,0.6088086462610861,0.47176830642486656,41.019605117005995,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/mobile_sam_vit_t/automatic_metrics.json
blenderproc_cogar_sim,efficient_sam_ti,point,ok,8768,8768,0.7576928273501166,0.7463162903604211,0.5826088902315941,0.8175124225513029,0.5873919325716119,38.23589640700084,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_ti/point_metrics.json
blenderproc_cogar_sim,efficient_sam_ti,box,ok,8768,8768,0.832278868205347,0.839517485487267,0.7698023783432312,0.9167223138450189,0.8176541357229247,37.346575051997206,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_ti/box_metrics.json
blenderproc_cogar_sim,efficient_sam_ti,automatic,ok,1000,8768,0.12046667292407238,0.036330964919114,0.0036977033763066617,0.015136009184820595,0.0022800110617141696,215.9201206100115,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_ti/automatic_metrics.json
blenderproc_cogar_sim,efficient_sam_s,point,ok,8768,8768,0.795568188817049,0.8126555486981384,0.6399957159546815,0.8423106240793047,0.6455387890590977,38.162127468996914,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_s/point_metrics.json
blenderproc_cogar_sim,efficient_sam_s,box,ok,8768,8768,0.9098034352251153,0.9135743111055248,0.8403368501799527,0.9590135043587872,0.8855325046534039,38.26492342699203,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_s/box_metrics.json
blenderproc_cogar_sim,efficient_sam_s,automatic,ok,1000,8768,0.15418450582906873,0.04554456530766869,0.009809636833893695,0.01551831249027538,0.00865945042661608,224.729080694,outputs/task9_lightweight_sam/evaluation/zero_shot/blenderproc_cogar_sim/efficient_sam_s/automatic_metrics.json
ocid,mobile_sam_vit_t,point,ok,21487,21487,0.6738942327595968,0.6263683551662992,0.4545284188311631,0.6593601371067835,0.5458343562783322,92.43869192100829,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/mobile_sam_vit_t/point_metrics.json
ocid,mobile_sam_vit_t,box,ok,21487,21487,0.8237698787213382,0.7398495075084086,0.6882844607671027,0.918510149292781,0.8174550341483103,93.25861304599675,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/mobile_sam_vit_t/box_metrics.json
ocid,mobile_sam_vit_t,automatic,ok,2390,21487,0.8104633763931351,0.7310294123275562,0.3761732058316651,0.5327220661862131,0.45264224819394433,110.11968694100506,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/mobile_sam_vit_t/automatic_metrics.json
ocid,efficient_sam_ti,point,ok,21487,21487,0.5383066375012849,0.4950349447450912,0.3154535030120085,0.5030385897068388,0.37149683475265455,92.50713942199945,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/point_metrics.json
ocid,efficient_sam_ti,box,ok,21487,21487,0.8278674773401372,0.7368875912811185,0.685614562622116,0.9390337766099862,0.8387993319207921,94.22207640000852,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/box_metrics.json
ocid,efficient_sam_ti,automatic,ok,2390,21487,0.10272048335745534,0.03350827976169552,0.0008999945410103019,0.0035862471693710253,0.00021936771512211172,493.5253758559993,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_ti/automatic_metrics.json
ocid,efficient_sam_s,point,ok,21487,21487,0.6396902716624208,0.5936247679781099,0.38424408484862593,0.6021779085664937,0.4530775296826351,92.46662691200618,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/point_metrics.json
ocid,efficient_sam_s,box,ok,21487,21487,0.8544621942786068,0.7761996754168248,0.7235365371020155,0.9594536086408882,0.8882131955888947,93.29208164899319,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/box_metrics.json
ocid,efficient_sam_s,automatic,ok,2390,21487,0.14058032043489793,0.03529564593685713,0.002688568562168464,0.008601102062333837,0.0010664384914616755,610.6671660159918,outputs/task9_lightweight_sam/evaluation/zero_shot/ocid/efficient_sam_s/automatic_metrics.json
