dataset,model,model_family,prompt_mode,device,status,sample_images,warmup_units,timed_units,fps,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_min_ms,latency_max_ms,output_count_mean,elapsed_wall_s,metrics_file,error
isaac_official_unitree_g1,mobile_sam_vit_t,zero_shot,box,cpu,ok,10,3,10,0.5770515343311834,1732.947476101981,1731.1761119999574,1743.041423700197,1723.5061550018145,1746.6253379971022,3.0,23.07824771000014,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/mobile_sam_vit_t/box_speed.json,
isaac_official_unitree_g1,mobile_sam_vit_t,zero_shot,automatic,cpu,ok,1,3,1,0.005902356961073096,169423.84315200616,169423.84315200616,169423.84315200616,169423.84315200616,169423.84315200616,49.0,678.8030437559937,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/mobile_sam_vit_t/automatic_speed.json,
isaac_official_unitree_g1,efficient_sam_ti,zero_shot,point,cpu,ok,10,3,10,0.19720471104398568,5070.872773302835,5074.674655508716,5095.768085497548,5031.063896007254,5097.004726005252,3.0,66.18499165300454,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/efficient_sam_ti/point_speed.json,
isaac_official_unitree_g1,efficient_sam_ti,zero_shot,box,cpu,ok,10,3,10,0.1963477570172453,5093.004448796273,5095.069335991866,5112.108966449159,5066.35751700378,5115.359180999803,3.0,66.61662464198889,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/efficient_sam_ti/box_speed.json,
isaac_official_unitree_g1,efficient_sam_ti,zero_shot,automatic,cpu,ok,1,3,1,0.07454636103133401,13414.47102400707,13414.47102400707,13414.47102400707,13414.47102400707,13414.47102400707,64.0,53.95026798998879,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/efficient_sam_ti/automatic_speed.json,
isaac_official_unitree_g1,efficient_sam_s,zero_shot,point,cpu,ok,10,3,10,0.0952437755723664,10499.373780496535,10505.492241994943,10542.674985645135,10445.13894400734,10545.277633995283,3.0,137.1353258099989,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/efficient_sam_s/point_speed.json,
isaac_official_unitree_g1,efficient_sam_s,zero_shot,box,cpu,ok,10,3,10,0.09560565063200858,10459.632808201422,10469.767390510242,10503.203622751607,10354.91804398771,10507.26190500427,3.0,136.6010061880079,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/efficient_sam_s/box_speed.json,
isaac_official_unitree_g1,efficient_sam_s,zero_shot,automatic,cpu,ok,1,3,1,0.05288213741182212,18909.976958995685,18909.976958995685,18909.976958995685,18909.976958995685,18909.976958995685,64.0,75.8629346670059,outputs/task9_lightweight_sam/inference_speed/cpu/isaac_official_unitree_g1/efficient_sam_s/automatic_speed.json,
blenderproc_cogar_sim,mobile_sam_vit_t,zero_shot,point,cpu,ok,10,3,10,0.6806270630794627,1469.2333794009755,1468.9908805012237,1476.0790368512971,1460.7916100067087,1478.0885420041159,3.0,19.405864619999193,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/mobile_sam_vit_t/point_speed.json,
blenderproc_cogar_sim,mobile_sam_vit_t,zero_shot,box,cpu,ok,10,3,10,0.651348202834361,1535.2771308011143,1535.0200695029343,1540.5665993508592,1527.7677480044076,1540.844464005204,3.0,20.304765252993093,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/mobile_sam_vit_t/box_speed.json,
blenderproc_cogar_sim,mobile_sam_vit_t,zero_shot,automatic,cpu,ok,1,3,1,0.006287147285081434,159054.6482619975,159054.6482619975,159054.6482619975,159054.6482619975,159054.6482619975,36.0,629.4167485989892,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/mobile_sam_vit_t/automatic_speed.json,
blenderproc_cogar_sim,efficient_sam_ti,zero_shot,point,cpu,ok,10,3,10,0.19557173051199153,5113.213435203943,5104.1264585001045,5160.024504709145,5086.648543001502,5182.966033011326,3.0,66.7768299439922,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/efficient_sam_ti/point_speed.json,
blenderproc_cogar_sim,efficient_sam_ti,zero_shot,box,cpu,ok,10,3,10,0.19424063335099376,5148.253394504718,5148.667615510931,5187.915408102708,5123.039637997863,5209.132855001371,3.0,67.04757335399336,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/efficient_sam_ti/box_speed.json,
blenderproc_cogar_sim,efficient_sam_ti,zero_shot,automatic,cpu,ok,1,3,1,0.07652363187048085,13067.858588998206,13067.858588998206,13067.858588998206,13067.858588998206,13067.858588998206,64.0,52.50228532899928,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/efficient_sam_ti/automatic_speed.json,
blenderproc_cogar_sim,efficient_sam_s,zero_shot,point,cpu,ok,10,3,10,0.09473427147425692,10555.84198239958,10545.248266498675,10639.31180450163,10498.73424100224,10672.535731995595,3.0,137.77225764200557,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/efficient_sam_s/point_speed.json,
blenderproc_cogar_sim,efficient_sam_s,zero_shot,box,cpu,ok,10,3,10,0.09425424028078147,10609.602252599143,10598.971759500273,10722.191153095628,10498.426820995519,10742.85821399826,3.0,138.2082675640122,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/efficient_sam_s/box_speed.json,
blenderproc_cogar_sim,efficient_sam_s,zero_shot,automatic,cpu,ok,1,3,1,0.05311446185374355,18827.26408400049,18827.26408400049,18827.26408400049,18827.26408400049,18827.26408400049,64.0,76.24019459899864,outputs/task9_lightweight_sam/inference_speed/cpu/blenderproc_cogar_sim/efficient_sam_s/automatic_speed.json,
ocid,mobile_sam_vit_t,zero_shot,point,cpu,ok,10,3,10,0.6252640569059043,1599.3242997981724,1597.6157510012854,1613.170063351572,1584.262600998045,1613.6914410017198,3.0,21.113942708994728,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/mobile_sam_vit_t/point_speed.json,
ocid,mobile_sam_vit_t,zero_shot,box,cpu,ok,10,3,10,0.6359565400457321,1572.4344936024863,1571.9182600005297,1576.2571538041811,1569.4532150082523,1577.1470180043252,3.0,20.8367554419965,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/mobile_sam_vit_t/box_speed.json,
ocid,mobile_sam_vit_t,zero_shot,automatic,cpu,ok,1,3,1,0.006429676226670611,155528.82676299487,155528.82676299487,155528.82676299487,155528.82676299487,155528.82676299487,57.0,623.5804476229969,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/mobile_sam_vit_t/automatic_speed.json,
ocid,efficient_sam_ti,zero_shot,point,cpu,ok,10,3,10,0.19572464381235244,5109.218647799571,5107.611921004718,5126.553679456265,5093.153666995931,5130.5190250132,3.0,66.58765685699473,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/efficient_sam_ti/point_speed.json,
ocid,efficient_sam_ti,zero_shot,box,cpu,ok,10,3,10,0.19566756086304302,5110.709182397113,5109.84787849884,5134.819947292999,5086.632877995726,5140.049480993184,3.0,66.69598585000494,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/efficient_sam_ti/box_speed.json,
ocid,efficient_sam_ti,zero_shot,automatic,cpu,ok,1,3,1,0.0759282057745966,13170.336238006712,13170.336238006712,13170.336238006712,13170.336238006712,13170.336238006712,64.0,52.54217468899151,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/efficient_sam_ti/automatic_speed.json,
ocid,efficient_sam_s,zero_shot,point,cpu,ok,10,3,10,0.09715895952693683,10292.411578602332,10268.74765050161,10407.607720103988,10177.402261993848,10426.456997010973,3.0,134.4289775590005,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/efficient_sam_s/point_speed.json,
ocid,efficient_sam_s,zero_shot,box,cpu,ok,10,3,10,0.09733021551098817,10274.301713501336,10277.8830774987,10352.19715835774,10166.639401999419,10356.003311011591,3.0,133.99708459900285,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/efficient_sam_s/box_speed.json,
ocid,efficient_sam_s,zero_shot,automatic,cpu,ok,1,3,1,0.054769942378763,18258.189739994123,18258.189739994123,18258.189739994123,18258.189739994123,18258.189739994123,64.0,73.82906067399017,outputs/task9_lightweight_sam/inference_speed/cpu/ocid/efficient_sam_s/automatic_speed.json,
